all: korop
and: mi
and: mi
animal: osom
arm: met
arrow: xaun
ashes: dzefe
ashes: dzepe
ashes: kau
ashes: kau
ashes: kau
ashes: zepe
back: romo-
back: romo-
back: romon
bark: sola
belly: kai-
belly: kai-
belly: uop-
big: suaine
big: suaine
big: swayne
bird: nangi
bird: naŋi
bite: ki-
bite: ki-
black: dika
black: dika
blood: ueŋem
blood: wengemi-
blood: weŋemi-
blow: puani-
blow: puani-
bone: set
bone: set-
bone: set-
breast: ngamu-
breast: ŋamu
breast: ŋamu
breast: ŋamu-
breathe: asu-
breathe: asumora
breathe: asumora
brother: rar-
brother: tat
brother: tat-
brother: tat-
burn: dzi
burn: dzi-
burn: dzi-
child: medep
chin: mep-
claw: zolip-
claw: zolip-
cloud: kezong
cloud: kezoŋ
cold: momoine
cold: momoine
cold: momoine
come: sa-
come: sa-
count: dapori-
count: dapori-
cut: kito-
cut: kitot-
cut: kitot-
day: rarapko
die: beuk
die: seuki-
die: seuki-
die: seuseu
dig: kepikito-
dig: kepikito-
dog: kasi
dog: kasi
dog: kasi
dry: dzipki-
dry: dzipki-
dry: zipzip
dust: kinekine
dust: kinekine
ear: ket
ear: ket-
ear: ket-
earth: kepe
earth: kepe
earth: kepe
eat: ni
eat: ni-
eat: ni-
emu: gbelue
eye: de
eye: dei
eye: dei-
eye: dei-
face: kait
fall: dun
fall: keti-
fall: keti-
father: maga-
father: maga-
father: magal
fat (n.): kelok-
fat (n.): kelok-
fear: kaet
fear: kaet
finger: nagap-
fingernail: dzoip
fingernail: dzolip
fingernail: zoliu
fire: gerep
fire: gɛrɛp
flower: dzurai-
flower: dzurai-
foot: ki
foot: ki-
foot: ki-
foot: kie
fruit: wele-
fruit: wele-
full: watgi
full: watgi-
full: watki
give: nan-
give: nin-
give: nin-
good: maine
good: maine
good: maine
grass: touk
green: wisika
green: wisika
hair: dzou
hair: dzou-
hair: dzou-
hair: zop-
hand: me-
hand: me-
hand: mete
head: lewit-
head: lewit-
head: lewut
hear: det-
heart: kombangi-
heart: kombaŋi-
here: ika
he/she: e
he/she: e
he/she: eŋ-
he/she: eŋ-ane
he/she: eŋe
he/she: eŋe
he/she: eŋe
he/she: -ke
hit: gbe-
hit: kpe-
hit: kpe-
hold: ma-
hold: ma-
hole: lom
hole: lom
house: mat
how: daleo
how: daleo
husband: ŋau
I: -le
I: na
I: na
I: na
I: na
I: na
I: na-
I: naŋ-ane
knee: wawet-
knee: wawet-
knee: wawɛt
know: deri-
know: deri-
lake: namung
lake: namuŋ
lake: namuŋ
laugh: teni-
laugh: teni-
leaf: met
leaf: meti-
leaf: meti-
left: kana
left: wesi
left: wesi
leg: ki
lip: pi
long: kiro
long: kiroine
louse: emen
louse: emen
louse: emen
louse: ɛmɛn
louse: maloam
man: ngei
man: ŋei
man: ŋei
many: lotlotne
many: louloutnge
many: louloutŋe
meat: biku-
meat: biku-
meat: soep
meat: wele
moon: boito
moon: kowon
moon: meso
moon: meso
moon: mɛso
moon: mɛso
mother: naga
mother: naga-
mother: naga-
mother: naok
mountain: bonaga
mountain: bonaga
mountain: talop
mouth: aŋa
name: dei-
name: dei-
name: eŋet
name: ɛŋɛt
neck: ebi
neck: ebi-
neck: ebi-
new: musele
new: usikap
new: wele
new: wele
new: wisikap
night: ruo
night: ruwo
night: ruwo
nose: sot-
not: mi
not: mi
not: yeine
old: lewitne
old: lewitne
one: weku
one: weku
person: ŋei
play: bat
play: gbat
play: gbat
pull: worang-
pull: woraŋ-
push: bira-
push: bira-
rain: koia
rain: koia
rain: koya
red: wengemka
red: weŋemka
right: warage
right: warage
road: duma
road: luma
road: muma
road: numa
road: numa
root: ngodi-
root: ŋodi-
rope: ranom
rope: ranom
round: lolik lolik
round: lolik lolik
round: lolik-lolok
sand: gbalak
sand: gbalak
sand: gbalak
sand: kpalak
say: ra-
say: ra-
say: re
scratch: pɛreŋ-
seed: uoune
seed: wau-
seed: wau-
see: ka-
see: nan-
see: nan-
sew: gbetut-
sew: peu-
short: bomgoi-
short: bomgoi-
sing: ore-
sister: kiari
sister: kiari-
sister: kiari-
sister: tat-
sit: meri-
sit: meri-
sit: met-
skin: sola
skin: solai-
skin: solai-
sky: kpeli
sky: kpeli
sleep: fe
sleep: pa-
sleep: pa-
small: nigatne
small: nigatne
smell: gbuop-
smoke: kopu
smoke: kopu
smoke: kopu
smoke: ŋauk
smoke: ngaup
smoke: ŋaup
snake: koma
snake: koma
snake: suabit
some: nat-
spit: mekat
spit: mngekat-
stand: okore-
stand: okore-
star: bole
star: sɛrɛkin
star: sereking
star: serekiŋ
stick: pokup
stone: wesi
stone: wesi
stone: wesi
straight: kobodo
suck: muzuluki-
suck: muzuluki-
sun: kaiwe
sun: kaiwe
sun: kalwe
sun: kaywe
swell: sue-
swell: sue-
tail: dai-
tail: dai-
that: eri
that: eri
there: eri
there: eri
there: yewa
they: en-
they: eŋ-ane
they: enge
they: eŋe
they: -i
they two: er-
they two: er-ane
they two: -mit
thigh: taui
this: i
this: i
thou: ge
thou: ge
thou: ge
thou: ge
thou: ge
thou: geŋ-
thou: geŋ-ane
thou: -i
thou: -ne
thou: ŋi
thou: ŋi
thou: ŋi
thou: ŋin-
thou: ŋin-ane
thou: ŋine
throw: gbeligi-
throw: gbeligi-
tie: pise
tie: pisi
tie: pisi
today: ukude
tongue: belakam
tongue: belakami-
tongue: belakami-
tongue: belakamze
tooth: nget-
tooth: ŋet-
tooth: ŋɛt
tooth: ŋilip
tooth: teine
tree: eki
tree: eki
tree: kaːsae
turn: mainggi-
turn: maiŋgi-
two: etke
two: etke
vomit: madogi-
walk: ari
warm: geleune
warm: geleune
warm: gerep
warm: gerep
wash: sauk-
wash: sauk-
water: doku
water: doku
water: doku
water: doku
weep: arop-
weep: arop-
we (incl.): -ne
we (incl.): ŋen-
we (incl.): ŋen-ane
we: ŋe
we: ŋe
we: ŋe
we: ngedo
we: ŋedo
we two (incl.): ŋer-
we two (incl.): ŋer-ane
we two (incl.): -te
what: oe
what: onoka
what: onoka
what: onoka
where: deo
where: dia
where: dia
white: libeka
white: libeka
who: mane
who: mane
who: maŋo
wind: momo
wind: momo
wind: momo
wind: momo
wing: gbimgiliu-
wing: gbimgiliu-
wing: kpimgim
woman: ngerep
woman: ŋerep
wood: gerep
wood: pokup
worm: boso
yellow: yangaike
yellow: yaŋaike
yes: oŋ
yesterday: yatne
you: ngine
you two: -mit
you two: ŋir-
you two: ŋir-ane
