all: kúrɛ́ɲ
animal: ǯ˗uṛu
arm: d˗
arm: d̪ɛ́y
ashes: ǯ˗aːru
back: d˗
back: d̪˗ɔ́ṛɔ
bad: gwu˗
bad: ˗kkɛ́ɲ
bark: g˗iya
bark: ǯ˗
belly: g˗aːrɛ
belly: ǯ˗
big: ˗bɔ́ːðɔ
big: gu˗ ǯi˗
bird: ɲí˗
bird: ŋ˗iṛuwo
bird: ŋ́˗ṛuwa
bite: ŋiːn ŋə˗m˗ɛrum
black: gw˗
black: ˗úmə́náŋ
blood: ŋ˗în
blood: ŋʷvan
blow: bud̪˗ád̪iǃ
blow: wu˗ɒ́ðiǃ
bone: ́l˗úyá
bone: ŋ˗
branch: d̪˗ŕná
branch: r˗
breast: ʌd̪u
breast: ǯ˗ɛd̪u
breathe: gwa˗gɛ́ːg˗əlɔ uːwa
breathe: uːwa
brother: máŋga
burn: yá˗wud˗ɛ́
calf: ð˗ɛṛɛ
child: ɲ˗
child: ŋ˗aːṛi
claw: g˗ámun
claw: ǯ˗
cloud: ábáṛu
cloud: ʌrbut̥
cold: ˗íɲídíŋ
come: ɪ́l˗áǃ
correct: ˗arkɛɲ
correct: gw˗
count: d̪ul˗ɛ́d̪iǃ
cut: d̪ɔ́g˗ɔǃ
cut: mɛt̪
cut: ṛúṛ˗d̪iǃ
day: áɲɛnɛ
day: l˗áːmun
day: ŋw˗ɔ́ːmun
die: m˗ay
dig: kúr˗u
dirty: g˗úmə́náŋ gaːnu
dog: ɲ˗
dog: ŋ˗iːn
drink: y˗ûǃ
dry: gw˗
dry: ˗úndoŋ
dust: ŋ˗ílâŋ
ear: g˗ɛ́ːni
earth: gw˗íyɔ́m
ear: ǯ˗
eat: ítt˗iǃ
eat: rəg˗
egg: l˗ɔ́ɲ
egg: ŋw˗
eye: g˗ɛ́y
eye: ǯ˗
fall: ma˗čál˗u
far: gw˗ɔ́ːlaŋ gaːnu
father: ˗ɲá
father: baːbá
fat (n.): ŋ˗ɛ́ːláʷ
fear: gwu˗d̪aɲ˗ɔ
feather: g˗ ~ d̪˗alaŋ
feather: ǯ˗
few: li˗
few: ˗t̪ídɔŋ
fight: pɛ́d˗ʊǃ
finger: l˗aːmun
fingernail: g˗amɔn
fingernail: g˗aːmun
fingernail: ǯ˗
finger: ŋw˗
fire: í(ː)gá
fish: l˗ʊːm
fish: ŋ˗
five: t̪ɔ́ːd̪ánɛ
float: gw˗índ˗i ŋaẃ˗lɔŋ
flower: l˗áwur
flower: ŋw˗
flow: ŋ˗ad̪˗ɔðɔ gaːlu
fly (v.): ŋ˗á˗dír˗í kɛɲɛn
fog: ǯábáṛú
foot: l˗aːra
foot: ŋw˗
four: kwɔṛɔŋ
fruit: ɲ˗
fruit: ŋ˗aːṛi
full: gw˗áɲɛ́ðɔ
give: d̪ɛ́˗d̪iǃ
good: d̪i˗
good: gwʊ˗
good: ˗(ŋ)ŋír
grass: ŋ˗árúm
green: gw˗
green: ˗igəlɔŋ
guts: č˗ú
hair: ð˗ɔla
hair: ʌṛu
hand: g˗írgɛ
hand: ɟ˗ɪrɪgɛ
hand: ǯ˗
head: ŋʷ
head: ṛá
hear: dáŋ˗ə́nuǃ
heart: d˗
heart: d̪˗ugɪrɛ́
heavy: gw˗
heavy: ˗úní)
here: ˗ɛ
here: ˗ɛno
he/she: ŋu˗
he/she: ŋu˗
he/she: ŋûn
