all: amín
and: tan
animal: áyep
ashes: dápol
at: ed
back: benég
bad: maogés
bark: obák
because: ta
belly: egés
big: báleg
bird: manók
bite: ketkét
black: andekét
blood: dalá
blow: sibók
bone: pokél
breast: pagew
breathe: añgés
breathe: linawá
burn: poól
child: anák
child: ogáw
cloud: lorém
cold: ambetél
come: la
correct: sústo
count: biláñg
cut: potót
day: ágew
die: patéy (on- )
dig: kótkot
dirty: maríñgot
dirty: maruták
dog: asó
drink: inóm
dry: amagá
dull: epél
dust: dabók
dust: sapók
ear: layág
earth: dálin
eat: kan
egg: iknól
eye: matá
fall: paktak
fall: pelág
far: arawí
father: amá
fat (n.): matabá
fear: takót
feather: bagó
few: daisét
fight: lában
fingernail: kukó, kuku
fire: apóy
fish: sirá
five: limá
float: létaw
flow: ágos
flower: bolaklák
flower: rósas
fly (v.): tekiáb
fog: kélpa
foot: salí
forest: takel; kakieoan
four: apát
freeze: ketél
fruit: boñgá
fruit: prutas
full: napno
give: íter
good: maábig
good: maóñg
grass: diká
green: bérde
green: bírdi
guts: paít
hair: buék
hand: limá
head: oló
hear: deñgél
heart: púso
heavy: ambelát
he: Ø
here: diá
he: sikató
hit: kená
hold: bénben
hold: pekét
horn: saklur; saklór
how: panon
how?: pánon
hunt: anóp
husband: asawá
I: ak
ice: yélo
if: no
in: ed
I: siák
kill: patéy, ( -en)
knee: pueg
know: amtá
lake: loók
laugh: elék
leaf: bolóñg
left: kawigí
leg: bíkkiñg
leg: ólpo
leg: salí
lie: dokól
live: biláy
live: manbiláy
live: manbiláy
liver: áltey
long: andotéy
louse: kotó
man: lakí
man: toó
many: dakél
meat: karni
moon: bulan
mother: iná
mountain: palandéy
mouth: sañgí
mouth: soñgót
name: ñgarán
narrow: maíñget
near: asíñgger
near: kárne
neck: béklew
new: bálo
night: lábi
nose: eléñg
not: ag
not: aliwán
not: andí
old: daán
old: matákken
one: isá
one: sakéy
other: aróm
person: toó
play: galáw
pull: goyór
push: tolák
rain: orán
red: abalañgá
right: kawanán
river: ílog
road: dalán
road: karsáda
root: lamót
root: señgég
rope: lobír
rotten: anolók
round: malimpek
rub: górgor
salt: asín
sand: buér
say: bagá
scratch: gúgu
sea: dáyat
seed: bokél
see: neñgnéñg
sew: dáit
sharp: mákdem
short: antikéy
sing: kansión
sing: kánta
sit: iróñg
sit: yorung
skin: báog
sky: táwen
sleep: ogíp
small: kelág
small: melág
smell: añgób
smoke: aséwek
smooth: palánas
smooth: píno
snake: olég
snow: linéw
some: aróm
spit: lópda
split: palduá
split: piság
squeeze: pespés
squeeze: serét
stab: sáksak
stand: alagéy
star: bitéwen
star: bitóen
stick: bíslak
stone: bató
straight: máktek
suck: sópsop
sun: ágew
swell: larág
swim: lañgóy
tail: ikól
that: man
that: tan
there: dimán
there: ditán
they: irá
they: sikará
thick: makapál
think: nónot
thin: mabéñg
thin: maímpis
this: ya
thou: ka
thou: siká
three: taló
throw: bóntok
throw: tópak
tie: siñgér
tongue: dilá
tooth: ñgipén
tree: kiéw
turn: likó
two: dua; dua\ra
vomit: otá
walk: okár
warm: ampetáñg
wash: orás
water: danóm
we: itá
we: itayó
we: kamí
we: sikamí
we: sikatá
we: sikatayó
wet: ambasá
what: antó
when: kapigan
when?: kapigán
where: ined; iner
where?: inér
white: amputí
who: siopá
wide: maawáñg
wide: malápar
wife: asawá
wind: dagém
wing: payák
wipe: ponás
with: ed
with: tan
woman: bií
woods: takél
worm: bigís
year: taón
ye: kayó
yellow: duyáw
ye: sikayó
you: sika
