all: ټول
ashes: ايره
bark: پټ
belly: نس
big: لوى
bird: مارغه
bite: چيچل
black: تور
blood: وينه
bone: هډوكى
breast: سينه
burn: سوځول
cloud: اوريږ
cold: سوړ
come: راتلل
die: مړكېدل
dog: سپي
drink: څكل
dry: وچ
earth: خاوره
ear: غوږ
eat: خوړل
egg: هګى
eye: سترګه
fat (n.): سپينه
feather: بڼه
fingernail: نوك
fire: اور
fish: كب
fly (v.): الوتل
foot: پښه
full: ډك
give: وركول
good: ښه
green: شين
hair: وېښته
hand: لاس
head: سر
heart: زړه
horn: ښكر
I: زه
kill: وژل
knee: زنګون
know: پېژندل
leaf: پاڼه
lie: څملاستل
liver: ينه
long: اوږد
louse: شپږه
many: ډېر
man: سړى
meat: غوښه
moon: سپوږمى
mountain: غر
mouth: خوله
name: نوم
neck: غاړه
new: نوى
night: شپه
nose: پزه
not: نه
one: يو
person: تن
rain: باران
red: سور
road: واټ
root: ولى
round: غونډ
sand: شګه
say: ويل
seed: زړى
see: ليدل
sit: كښينستل
skin: پوستكى
sleep: خوب وړل
small: ووړ
smoke: لوګي
stand: ولاړيدل
star: ستورى
stone: كاڼى
sun: لمر
swim: لامبو وهل
tail: لكى
that: هغه
this: دا
thou: ته
tongue: ژبه
tooth: غاښ
tree: ونه
two: دوه
walk: تلل
warm: تود
water: اوبه
we: موږ
what: څه
white: سپين
who: څوك
woman: ښځه
yellow: زيړ
