ashes: nīd
belly: poṭṭa
big: berto
bite: kacc-
black: ker-
blood: netir
burn: erip-
claw: gēri
cloud: malgur
cold: ēd-
come: ver-
die: cay-
dog: netta
drink: un-
dry: ōl-
ear: kekol
eat: tin-
eye: kan
fat: koṛ-
fire: kic
fish: key
fish: mīni
foot: kēl
give: cī-
green: pay
hand: key
head: tel
hear: ven-
I: ān
knee: maḍtel
know: pun-
leaf: ev
liver: taṛuŋg
louse: pēni
moon: neliñ
mountain: malaŋg
mouth: vāy
name: pidir
new: pun
night: nal
nose: muvāḍ
red: key
road: pāv
root: vār
salt: cup
say: en-
seed: vittid
see: kanḍp-
sit: und-
skin: tōl
sleep: kelay-
sleep: tuñ
snake: bām
stand: nilp-
star: cukka
stone: kel
tail: tōka
that: ad
this: id
thou: īn
tongue: nevāḍ
tooth: pel
tree: meri
two: ir
walk: tāk-
water: nīr
we (excl.): ām
what: nā
white: vil
who: ēd
wind: vali
woman: aḍey
worm: puṛut
year: iyaḍ
