ankle: parkar
arm: patur
arm: paturr
arrow: dugi
ashes: pirag
ashes: pirag
back: termen
back: termen
bad: kaiopeapea
bad: karopeapa
belly: nur
belly: nur
belly: wurther fambu
belly: wut̪er fambu
bird: iamund
bird: iamund
bite: qearporond
bite: qearporond
bitter: winuwinu
bitter: winu-winu
black: kofise
black: kofise
blood: foroka
blood: forroka
bone: kam
bone: kame
boy: kapar
boy: kapar
branch: wemani
branch: wemani
breast: turan
breast: turran
brother: nane
brother: nane
brother: naŋurt̪
brother: nangurth
calf: takaratakara
calf: takara-takara
cassowary: yem
chest: turrun
chest: turun
child: kapar
child: nengever
child: neŋever
child: yurmad
chin: kana-kana
cloud: dapar
cloud: dapar
come: awe
come: awe
cut: setiba
cut: setiba
dance: u
dark: geloman (?)
day: čeče
day: ?eapurt̪a
day: eapurtha (?)
day: ngapariwari
die: qosi
die: qosi
dig: čet̪arub
dig: chetharib
dog: ɲat̪ur
dog: gnathur
drink: kiatanob
drink: kiatanob
dry: touwaput̪
dry: touwaputh
ear: tarop
ear: tarop
earth: tirren
eat: seawomb
eat: seawomb
egg: yawi
egg: yawi
elbow: darmqas
elbow: darmqas
emu: yem
excrement: wethur
eye: si
eye: si
face: mit̪a
face: mitha
fall: teata
fall: teata
far: tarnamkar
far: tarnamkar
father: gnawe
father: ŋawe
fat (n.): ?wiri
fat (n.): wirri (?)
feather: yirmand
feather: yirmand
finger: darngorambur
finger: iabarndom
finger: iabarndom
finger: iumbar-ntom
finger: kam
finger: serrunge-nton
finger: surthenge
finger: thurndentom
finger: thurnde-thom
finger: yumbarandum
fire: meni
fire: meni
fish: kowea
fish: kowea
five: neambi
fly (n.): gumbam
fly (n.): gumbam
fly (v.): tet̪evear
fly (v.): tethevear
foot: baiakir
foot: tarwar
foot: tarwar
foot: warthurtak
foot: wurt̪urtok
forehead: mithur
forehead: mit̪ur
fruit: vermeni yauwi
fruit: vermeni yauwi
full: tearatope
full: tearatope
girl: yurma\a
girl: yurmad
good: namaya
good: namaya
grass: yuse
grass: yuse
hair: yambar-iawi
hair: yembariawi
hand: ganga-kubikubi
hand: tambara-pavo-pavo
head: di
head: yambai
head: yambai
hear: iaritase
hear: iaritase
heart: fofosa
heart: fofosa
heavy: serin
heavy: serin
heel: baiakir
he/she: sier
he/she: ?sier
hit: yambar
hold: senewakur
house: mernse
house: mernse
hunt: piapur
I: donem
I: donem
I: tea
I: tea
jaw: kanakan
jaw: kanakan
jaw: turunonga
kill: seqer
knee: qaraqara-kuriawi
knee: qarra-qarra-kuriawi
know: dungi
know: ?duŋi
laugh: burose
laugh: burose
leaf: wemenetank
leaf: wemene-tank
left: nembawegi
left: nembawegi
leg: paraka
leg: paraka
lie: yar
lie: yar
lightning: korivat
lightning: korivat
lip: terumberengi
lip: terumbereŋi
live: keamat
liver: narntun
liver: narntun
live: temenab
louse: yarm
louse: yarm
man: karmbe
man: karmbe
man: karmbe
man: karmbe
many: tufer
many: tufer
meat: fepe
meat: fepe
meat: fepe
moon: tayi
moon: tayi
mother: ngarmwe
mother: ŋarmwe
mountain: rokuroku
mountain: roku-roku
mouth: farkaiyefer
mouth: farkaiyefer
name: yerper
name: yerper
navel: tanderu
navel: tanderu
neck: qarn
neck: qarn
night: gigi
night: gigi
night: tambarthur
night: tumbart̪ur
nose: tarutarup
nose: tauma
not: kaio
not: kaio
one: neambi
one: neambi
one: tabakar
play: borosev
play: borosev
pull: kekar
pull: kekar
rain: no
rain: no
right: taue
right: taue
ripe: taio
ripe: taio
river: tutuver
river: tutuver
road: mut̪er
road: muther
rope: waise
rope: wiase
rope: wiase
sand: bondabonda
sand: bonda-bonda
sea: meani
sea: meani
see: seamar
see: seamar
sing: warg
sister: ?duyumurt̪
sister: duyumurth (?)
sit: keames
sit: keames
skin: woko
skin: woko
sleep: kameder
sleep: kameder
small: katanakatan
small: katanakatan
smell: fewa
smell: hwerewa
smell: wherewa
snake: kambot̪a
snake: kambotha
spit: taroporopor
spit: taroporopor
stand: sekuk
stone: verma
stone: verma
sun: erputhur
sun: erput̪ur
swim: perchu
swim: perču
tail: keer
tail: ke\er
take: sewaku
take: sewaku
thigh: pot̪ambara
thigh: pothambara
thin: katankatan
thin: katan-katan
thou: fur
thou: fur
throat: qarn
throat: qarn
tie: serembus
tie: serembus
tomorrow: weakase
tomorrow: weakase
tongue: wet̪erčer
tongue: wethercher
tooth: tur
tooth: turr
tree: wermerni
tree: wermerni
two: yendar
two: yeudar
vomit: wermberg
walk: makateva
walk: makateva
walk: murthur
walk: murt̪ur
walk: yarkur
wallaby: tauwori
wallaby: tauwori
wash: čeviv
wash: cheviv
wash: pokau
water: noor
water: no\or
weep: yarwar
weep: yarwar
wet: tirer
wet: tirer
white: tauwarud
white: tauwarud
wife: ɲari
wife: gnari
wind: meni
wind: meni
woman: ngari
woman: ŋari
