arm: -uapo
arrow: pitɔr
ashes: tʌbut
back: -puri
bad: okɛrrɛ
belly: -uram
belly: -utʌk
big: uwo
bird: muga
bite: -guz-
black: gigir
blood: -od
blow: wogotu-
bone: -karum
boy: moato yamun
breast: amɛ
brother: -baba
brother: -zamun
burn: ug-
butterfly: kabobɔr
calf: -wasuma
chest: -tɛgum
child: nada
chin: -danogar
cloud: ʌbʌ
cloud: kiwʌːmu
cold: kukum
come: sɛb-
crocodile: wʌkɛ
cut: buːg-
cut: wɛs-
day: wirranat
die: um-
dig: dai-
dig: iw-
dig: toborum-
dirty: orrɔrr
dog: iːbun
dry: kekas
earth: bereim
ear: -tiwa
eat: im-
egg: unam
elbow: moarikot
emu: isiwʌr
eye: -muda
face: -imir
fall: wʌi-
far: abawisaß
father: ʌboa
father: naßi
fat (n.): ʌbir
fear: biad-
few: dʌwi
fight: gʌr-
finger: nʌ
fingernail: owos
fire: ɛwʌb
fish: wʌr
fly (n.): ʌdiːru
fly (v.): bi-
fog: kana wia
forest: dikɔb
fruit: mʌdo
full: diɛ-
full: un-
girl: nʌnum bʌras
give: -nag-
good: wɛrrɛb
guts: -uram
hair: -oso
hair: -umun
head: -pɛra
hear: -dam-
heart: uwaß
heavy: ubi
here: gaub
he/she: o
he/she: o
he/she: o-
he/she: o-
he/she: w-
he/she: w-
hold: apɛ-
house: dua
I: zə-
I: zə-
I: zo
I: zo
kill: tʌbum s-
knee: -konokot
laugh: kasiw- bair-
left: nasɛ
leg: -riwa
lightning: rapɛra wɛrɛkan-
liver: -riri
long: wanʌk
louse: ʌgu
man: moato
man: nɛna
many: gura
meat: soboa
moon: tʰʌu
morning: aba wazan-
morning: wiːnawa
mosquito: ʌsi
mother: -namu
mother: nomɛ
mountain: ʌba muda
mouth: -oupar
name: -inim
nape: -umuaiti
navel: -witoto
near: mɛto
neck: -mati
new: yom
night: rrɔd
not: wɛ
old: ʌbɔm
old: okɛrɛ
old: posɛ
one: udua
pull: tub-
push: kakut-
push: siriwatu-
rain: nʌt
rat: werewɛ
red: unu
right: wapo
ripe: unu
road: yʌːrrib
root: sir
rope: duna
salt: ibor
sand: rrʌsʌb
say: -atag-
say: tʌn-
scratch: ɛre-
sea: iːbɔr
see: muda ruw-
see: -wɛk-
shoulder: -otop
sister: -imina
sit: bug-
skin: -uka
sky: wʌwib
sleep: in-
small: mɛdɛ
smoke: ikʌb
snake: moat
spit: -opozak
spit: poson-
split: wɛg-
stand: dogon-
star: mʌgʌ
stone: nɔmo
straight: dogo
sun: iːdʌm
swell: sisi-
tail: duːra
tail: wipukam
take: toß-
that: oyɛ
there: gais
they: ə-
they: ə-
they: wi
they: wi-
thigh: -pukoß
think: gema uw-
this: onɛ
this: oßɛ
thou: ne-
thou: nə-
thou: nə-
thou: nə-
thou: ni
thou: ni
thou: no
thou: no-
throat: -mati duna
throw: turuw-
thunder: napɛra sɛn-
tie: tub-
tomorrow: mɛgɛrra
tongue: -apita
tooth: -nɛna
tree: enam
tree: nʌm
tree: okuram
turn: pirigan-
two: nɛr
vagina: -ubɛ
vomit: ʌs-
walk: aßi-
walk: irar-
walk: sogan-
wallaby: mʌpʌr
warm: gɛnɛwaß
wash: -wis-
wash: zʌg is-
water: yʌk
weep: nɛw-
wet: buiri
we: zə-
we: zə-
we: zi
we: zi-
what: miani
white: waya
who: za-ni
wind: gʌmaz
wing: ɛmɛz
woman: nʌnum
woman: po(a)gʌr
wood: gigibar
wood: okodua
yellow: girigiri
yes: ɛ
yes: orrɛ
yesterday: niːwa
