all: vasī
and: ka
animal: tiredan
ashes: vulimolas
back: aisiluk
bad: tīsa
bark: hilīte
because: veni
belly: haivaŋavaŋ
bird: aman
bite: gati
black: malikelik
blood: rāk
blow: mūhi
bone: sīk
breast: sūsu
breathe: museh
burn: ŋan
child: lohon
cloud: mahumah
cold: madil
come: imi
correct:  mal
count: vulī
cut: dehei
die: mat
dig: gili
dirty: amus
dog: huli
drink: muni
dry: mes
dull: vut
dust: vulimolas
ear: raliŋok
earth: atan
empty: vuol
eye: metok
fall: tamoŋ
far: sautin
father: tamek
fat (n.): amur
fear: metauen
few: havivi
fingernail: hidihēk
fire: te ai
fish: ai
five: elim
float: dāheah
flower: huŋaite
flow: muolōl
fly (v.): muka
fog: tāroh
foot: hēk
forest: leiai
four: ehat
fruit: haiai
full: vil
give: sāni
good: tahos
grass: laumunai
green: talauai
guts: tinok
guts: tinok
hair: hiluk
hand: hēk
head: vatuk
hear: loŋe
heart: haīhus
heavy: roelas
he: kai
hit: mutī
horn: [hōn]
how: mukave
hunt: lāu
husband: asōn
if: munak
I: inau
in: naīm
kill: muasi
knee: uriluk
know: gilela
lake: oai
large: mariso
laugh: viteal
leaf: laute
left: maīl
leg: hēk
lie: matil
live: maul
liver: leatok
long: tavelah
louse: aut
man: molatin
many: haulu
meat: husi
moon: avati
mother: latinok
mountain: hau
mouth: uŋok
name: isok
narrow: mahinihin
near: vesesal
neck: hirēk
new: hāu
night: voŋien
nose: vuliŋasuk
old: matu
one: tāi
person: hanu
play: daun
pull: lehei
push: dīori
rain: aus
red: vilhili
right: matu
river: oai
road: sīsel
root: utīte
rope: voiāu
rotten: vō
round: vupu
rub: mūli
salt: atas
sand: veien
say: viteni
sea: atas
sea: atas
seed: utīte
sew: dilī
sharp: gān
short: tamurel
sing: musau
sit: dōtan
skin: hilīvek
sky: teilaŋ
sleep: matil
small: havivi
smell: mūsi
smoke: eas
smooth: muto
snake: amot
some: koan
spit: mutiv
split: masiv
stab: dai
stand: dōmal
star: hitu
stick: aisal
straight: mal
suck: sūsu
sun: meteal
tail: vatikēn
they: kaīl
thick: matetel
think: sitomi-lia
thin: mahinihin
thou: kaik
thou: kami
three: etel
throw: sōni
tie: pare
tongue: mēk
tooth: luhok
tree: āi
turn: vūsai
two: elu
vomit: mulū
warm: mutin
wet: merumer
what: asa
when: neŋais
which: kave
white: muoh
who: isei
why: vensa
wide: mariso
wife: asōn
wind: alaŋ
wing: levauen
woman: ahin
worm: asilat
wrong: romalteī
year: auh
yellow:  tolokohis
