all: sab
and: te
animal: janwar
ashes: swa
at: te
back: picha
bad: bhera
bark: chall
because: es lai
belly: dhid
big: wdda
bird: prinda
bite: chak
black: kala
blood: lao
bone: hadd
breast: mamma
breathe: sa
child: jatak
cloud: baddal
cold: pala
come: aa
count: ginya
cut: katya
day: dehara
die: moya
dig: khodea
dirty: ganda
dog: kutta
drink: peeta
dry: khushak
dull: khoonda
dust: ghata
ear: kann
earth: tharti
eat: khada
egg: anda
eye: akh
fall: diga
far: dour
father: peo
fat (n.): mota
feather: pr
fight: lrai
fingernail: no
fire: ag
fish: machi
five: panj
float: tirna
flower: phul
fly (v.): udna
fog: kuhr
foot: per
four: char
freeze: jamna
fruit: phal
full: bhrya
give: dena
good: changa
hair: wal
hand: hath
head: sir
hear: sunna
heart: dil
heavy: pari
he: o
here: ethe
hit: marna
hold: pharna
horn: sing
how: kiwen
hunt: shkar
husband: khasam
ice: baraf
if: je
I: men
in: witch
kill: marna
knee: goda
know: jana
laugh: hasna
leaf: patta
left: khaba
leg: latt
lie: lama pena
live: jina
liver: jigar
long: lamma
man: banda
many: baun
meat: goshat
moon: chan
mother: ma
mountain: phar
mouth: mun
name: na
narrow: tang
near: nere
neck: thon
new: nwa
night: rati
nose: nakk
not: na
old: budha
one: ik
other: doja
person: banda
play: khed
pull: khichna
push: dhika
rain: meenh
red: rata
right: sidha
river: drya
road: sarak
root: jar
rope: rasi
rotten: srya hoya
round: gol
rub: ragarna
salt: nimak
sand: ret
say: kena
scratch: khurachna
sea: smudar
seed: bi
see: dekhna
sew: seena
sharp: tez
short: mdra
sing: gana
sit: bena
skin: khal
sky: asman
sleep: nendar
small: nikka
smell: bo
smoke: thoan
smooth: mlem
snake: sap
snow: braf
some: kuj
spit: thukna
split: parna
squeeze: dabna
stab: marna
stand: khlona
star: tara
stick: dnda
stone: pathat
straight: sidha
suck: choopna
sun: sooraj
swim: tarna
tail: dum
that: o
there: othe
they: o
thick: mota
think: sochna
thin: ptla
this: ae
thou: tusi
three: tin
throw: sutna
tie: bandhna
tongue: jeeb
tooth: dand
tree: drakhat
turn: murna
two: do
vomit: ulti
walk: chalna
warm: tatta
wash: dhowna
water: pani
we: asi
wet: gilla
what: ki
when: kadon
where: kithe
white: chitta
who: kon
wide: chora
wife: budhi
wind: hwa
wing: par
wipe: punjna
with: naal
woman: budhi
worm: keera
year: sal
yellow: peela
you: ton
