all: kɔros
and: ō
animal: mān
ashes: pēs
back: sowe
bad: sakanakan
bark: kīl
because: pʷe
belly: etin mʷeŋe
bird: menpīr
bite: ke
black: ṭɔηṭɔi
blood: nṭa
blow: peuk
bone: ṭĩ
breast: tīti
breathe: esiŋek
burn: isik
child: seri
cloud: tepʷek
cold: pou
come: koto
correct: pʷuŋ
count: watek
cut: sepe
die: mē-la
dig: teik
dirty: pʷelipʷel
dog: kiti
drink: nim
dry: mat
dull: kons
dust: pʷelipar
ear: saleŋ
earth: sampā
empty: ṭen
eye: pʷoarenmas
fall: e-ʔua-lai
far: to
father: sām
fat (n.): wī
fear: masak
few: mʷur
fingernail: kikin pē
fire: na-xaⁿb
fish: mʷāmʷ
five: limau
float: pei
flower: kapʷaţ
flow: pʷil
fly (v.): pīr
fog: ṭɔkoi
foot: paṭēn nē
forest: nanwel
four: pāieu
frog: [kairu]
fruit: wā
full: tir
give: kīeŋ
good: mʷāu
grass: tīpʷ
green: pōntipʷ
guts: macŋal
guts: macŋal
hair: piṭenmɔŋ
hand: pē
head: mɔ̄ŋ
hear: roŋ
heart: mōŋioŋ
heavy: ṭouṭou
he: e
hit: pɔkih
horn: kote
how: ia tuwen
husband: pʷout
if: ma
I: ŋēi
in: nan
kill: kamēla
knee: pʷukie
know: ese
lake: lē
large: laut
laugh: kourūr
leaf: ṭē
left: palimeiŋ
leg: nē
lie: wenti
live: mour
liver: ē
long: reirei
louse: likarak
man: ōl
many: ṭōṭō
meat: utuk
moon: maram
mother: ĩn
mountain: nāna
mouth: āu
name: at
narrow: ṭēṭik
near: keren
neck: were
new: kapw
night: Pʷōŋ
nose: ṭumʷe
old: laut
one: ēu
person: aṛamas
play: mʷatoŋ
pull: waik
push: [pʷūs]
rain: keṭeu
red: weiṭāṭa
right: maun
river: pillap
road: āl
root: kaleu
rope: sāl
rotten: mat
round: pʷonopʷon
rub: iris
salt: [sɔ̄l]
sand: pīk
say: nta
sea: sēt
sea: sēt
seed: weren ṭūke
sew: tēk
sharp: keŋ
short: mʷoṭomʷoṭ
sing: koul
sit: mʷõt
skin: kīl
sky: lāŋ
sleep: meir
small: ṭikiṭik
smell: iŋir
smoke: [adi]
smooth: metentel
snake: [sinek]
some: ekei
spit: kentip
split: pʷaik
stab: tɔkɔ
stand: ū
star: usu
stick: sokon
straight: inen
suck: mīk
sun: sou
tail: iki
they: īr
thick: mosul
think: metewe
thin: menipinip
thou: ke
thou: kumʷa
three: silū
throw: kese
tie: pire
tongue: lāu
tooth: ŋī
turn: welik
two: riau
vomit: mmʷus
warm: karakar
wet: wisekesek
what: tā
when: iāt
which: mēnia
white: pʷeṭepʷeṭ
who: īs
why: menta
wide: ṭēlap
wind: āŋ
wing: p℮
woman: lī
worm: kamʷeḍel
wrong: sapʷuŋ
year: sounpar
yellow: ɔŋɔ̄ŋ
