all: omea
and: paiʔ
animal: binata
ashes: aβu
back: toŋoʔ
bad: daʔa
bark: kuluma kaǰu
because: apaʔ
belly: taʔi
bird: daⁿči
bite: beⁿčiʔ
black: mo-ʔeta
blood: raaʔ
blow: tuβuiʔ
bone: βuku
breast: tiiʔ
breathe: inohaʔ
burn: suβe
child: anaʔ
cloud: limuʔ
cold: mo-laheʔ
come: na-rata
correct: má-kono
count: bilaʔ
cut: puaʔ
die: mat-e
dig: mo-kae
dirty: baboʔ
dog: dikeʔ
drink: ŋ-inu
dry: baŋi
dull: mo-kuluʔ
dust: aβu
earth: role
ear: tiliŋa
egg: ⁿtolu
egg: ⁿtolu
empty: ka-loa-a
eye: mata
fall: bʷaka
far: mo-laa
father: tuama
fat (n.): boko
fear: ekaʔ
few: haŋ-kediʔ
fingernail: lema ŋa-yà
fire: apu
fish: bauʔ
five: lima
float: naⁿko
flower: βuŋa
flow: mo-ʔìli
fly (v.): ⁿkali-moko
fog: limuʔ ⁿkuku
foot: βitiʔ
forest: βaηaʔ
four: opoʔ
frog: teteʔ
fruit: βuaʔ
full: ponuʔ
give: βaiʔ
good: Ioⁿpeʔ
grass: koβoʔ
green: mu-leβue
guts: taʔi liko
guts: taʔi liko
hair: ßulu
head: βooʔ
hear: epe
heart: hulr
heavy: mo-tomo
he: hiʔa
hit: βebaʔ
horn: tonuʔ
how: beiβa
hunt: mo-ʔahu
husband: to-mane
I: akuʔ
if: ane
in: rala
kill: pate-hi
knee: kotuʔ
know: iⁿ̃ča
lake: rano
large: bohe
laugh: taβaʔ
leaf: rau
left: kiʔii
leg: βitiʔ
lie: no-turu
liver: ate
live: tuβuʔ
long: mo-laŋa
louse: kutu
man: to-mane
many: βoriʔ
meat: ihi
moon: βula
mother: tina
mountain: buluʔ
mouth: ŋaŋa
name: haŋaʔ
narrow: ǰopiʔ
near: mohuʔ
neck: βurokoʔ
new: boʔu
night: {ŋ}ka-beŋi-a
nose: oŋe
old: tuʔa
one: isaʔ
person: tau-na
play: oriʔ
pull: diiʔ
push: rusu
rain: uda
red: mo-lei
right:  ka?ana
river: haluʔ
road: ohea
root: raliʔ
rope: koloro
rotten: vahaʔ
round: mo-haloli
rub: pori
salt: poiʔ
sand: βoʔone
say: ulia
sea: tahiʔ
sea: tahiʔ
seed: uⁿtoʔ
sew: mo-dau
sharp: bakaʔ
short: redeʔ
sing: mo-ronaa
sit: mo-hura
skin: kuluma
sky: laŋiʔ
sleep: letaʔ
small: kediʔ
smell: eŋaʔ
smoke: raŋahu
smooth: mo-ludu
snake: ulе
some: ba haŋkuǰa
spit: n-tiliku
split: bikaʔ
stab: ǰalo
stand: mo-kore
star: betueʔ
stick: luaʔ
suck: hiruʔ
sun: mata-ʔeo
tail: iku
they: hiraʔ
thick: mo-ku{m}pa
think: mo-ka-nono
thin: mo-reniʔ
thou: iko
thou: koiʔ
three: tolo
throw: tenea
tie: hooʔ
tongue: ǰilaʔ
tooth: ŋihiʔ
tree: kaǰu
turn: βoliʔ
two: dua
vomit: ti-luaʔ
warm: mo-raniʔ
wet: mo-siiʔ
what: napa
when: ⁿtoʔuma
which: toʔuma
white: bula
who: hema
why: mo-apa
wide: mo-βelaʔ
wife: to-bine
wind: ŋoluʔ
wing: paniʔ
woman: to-bine
worm: kilinoro
wrong: ma-salaʔ
year: ⁿpar
yellow: mo-kuni
