all: inimũ
ankle: kito-kĩ
ankle: kito kin
arm: bide
arm: bidɛ́
arm: bide-bagi
ashes: taki
ashes: taki
back: mi-kin
back: mikin(h)
back: sí-begi
bad: yama
bark: ɣa
bark: wasoko
belly: kaku
belly: káku
belly: o
big: tengghaghay
bird: i\i
bird: yi
bite: asu-
bite: asu-
black: sirí
black: sirí
blood: go
blood: go
bone: bagi
bone: bagí
boy: súban
boy: subã(n)
branch: kabin
branch: kabin
breast: no͂
breast: on
breast: õ(n)
breast: on-subu
breast: õ(n)-subu
breathe: sifinh fero-
brother: kapu
brother: kapu
brother: kude
brother: kudɛ́
burn: yidu
burn: yi-du
butterfly: apero
butterfly: ápɛro
calf: biniro
calf: bin-iro
cassowary: karuwe
cheek: moghõ(n)-bagi
cheek: moɣon-bagi
chest: bĩ
child: ghabĩ
child: ofo
child: togoro
chin: makabi
chin: makabi
cold: taru
cold: táru
come: de-
come: dɛ-
crocodile: ɣáiambu
crocodile: …aja…
crocodile: ghaiambu
cut: tumo-
cut: tumo-
cut: tumo-
dark: gugununh
daughter: subran
daughter: subrã(n)
day: kawã
day: sawe
day: sawe
day: sawɛ́
die: kun-
die: kun(h)-
dig: ko-
dig: ko-
dog: anggí
dog: angí
drink: mi-
drink: mi-
dry: se
dry: sɛ
ear: súrun
ear: surun(h)
earth: mokan
earth: mokã(n)
earth: soghó
earth: soɣó
eat: er
eat: mu-kun-
eat: ni͂-
egg: mugo
egg: mügo
elbow: bide-bũ
elbow: bide-bun
excrement: o
eye: kirimogo
eye: kiri-mogo
eye: kirimogo rõ
eye: kiro-bi
eye: kiro-bí
face: keto
fall: ru-
far: ɣaman
far: ghamã(n)
father: bo
fat (n.): duwo
feather: ron
feather: rõ(n)
finger: bidɛ́ toron
finger: bidé torõ(n)
finger: kito toron
finger: kito torõ(n)
fingernail: kia
fingernail: kia
finger: sio
finger: sio
finger: wadó
finger: wadó
fire: yi͂
fire: yin(h)
fish: aɣáɛ
fish: aghae
five: bedaghafimã
flower: ki
flower: ki
fly (n.): ebũ
fly (v.): burun-
fly (v.): burun-
fly (v.): busu͂
foot: kito
foot: kito
foot: kito atã
forehead: kiro-bagi
forest: gasi
four: soghondemã
fruit: yindero
fruit: yindɛ-ro
full: tare-ma ba-
full: ?tome
girl: amgi
girl: amgi
give: edo-
give: edo-
good: popora
grass: seso
guts: o
guts: o
guts: o
hair: ghaybi-ro
hair: rõ
hair: ron
hair: ron
hair: xaibi-ro
hand: bide
hand: bidɛ́
head: ghaibã(n)
head: ghaybã-bagi
head: gun
head: roba
head: xaiba͂
hear: da-
hear: da-
heart: duburo
heart: dúburo
heavy: yandoghu
heel: kito-mu
he/she: eki
he/she: eki
he/she: e-na
he/she: ewa
he/she: ewa
hit: uforo-
hit: ufuro-
hit: waki gun
hole: to
hole: to
house: ghãy
husband: nughu
I: na
I: na
I: nu
I: nu
in: womu
kill: wómu
kill: wu-
knee: bági-bu͂
knee: bagi-bũ
know: nofã gi
laugh: ab gi-
laugh: ab gi-
leaf: ro͂
leaf: ron(h)
leg: bagi
leg: kito
leg: kito
lie: ri-
lie: ri-
lightning: bã
lip: búnaɣa-me
lip: bunagha-me
live: kádaɣai ba-
live: kadaghay ba-
liver: wun
liver: wun(h)
long: kowe
louse: anggu
louse: ángu
man: gho bisin(h)
man: gho bisin(h)
man: ɣó bisin
man: ɣó bisin
many: wemã
meat: kadu
meat: kadu
meat: kadú
moon: bidi͂
moon: bidin(h)
morning: mimin
morning: mimin
mosquito: ise
mosquito: ise
mother: ni
mother: ni
mountain: ghabe
mountain: yabɛ
mouth: bunagha
mouth: ghaté
mouth: ghosopa
mouth: xate
name: fi
name: fi
nape: gubĩ
navel: o-gun
