all: ma-pulʸad
animal: ḳ–əm–uzi-ḳuzip
ashes: ḳavu
back: uḳulʸ
bad: na-kuya
bark: ḳaІʸί¢
because: ulʸa
belly: vi¢uka
bird: ḳaya-ḳayam
bite: k-əm-a¢
black: ḳə-¢əŋə-¢əŋəḷ
blood: ɟamuḳ
blow: v-ən-aḷi
bone: ¢uḳəḷalʸ
breast: tutu
breathe: nasi
burn: mujək
child: alʸak
cloud: ḳərəpus
cold: lʸa-1ʸəḳəḷ
come: idu
correct: pa-ḳuḷid
count: s-əm-upu
cut: k-əm-ic
die: na-ma¢aʸ
dig: k-əm-aḷi
dirty: p-ən-alʸiḳ
dog: vatu
drink: t-əm-əkəl
dry: mətad
dust: lʸi¢aḳ
ear: ¢aliŋa
earth: ḳipu
egg: ḳə¢iḷu
egg: ḳə¢iḷu
eye: ma¢a
fall: ma-ipuķ
far: i-a-¢aɟa
father: kama
fat (n.): ḳalum
fear: ma-rəkuc
few: kəḍi
fingernail: k-alʸ-usə-kus-an
fire: sapui
fish: ¢ίḳaw
five: ḷima
float: sə-vaḷi
flower: və1ʸəŋaw
flow: si-ḳalʸuɟ
fly (v.): miŋ-ḷayap
fog: ¢imaru
foot: kuḷa
forest: kasi-kasiw
four: səpac
frog: ḳubə-ḳub
fruit: vaŋalʸ
full: ma-pə1ʸuḳ
give: pa-vai
good: na-ŋuaḳ
grass: ¢əməḷ
green: ḳə-lʸəŋə-lʸəŋəḳ
guts: vu
guts: vu
hair: ŋisŋis
hand: ḷima
head: ḳuḷu
hear: ki-ḷaŋda
heart: ḳavuvuŋ
heavy: sa-ɟəluŋ
he: ti-maɟu
hit: p-ən-aŋuḷ
horn: təḳuŋ
how: k-əm-uda
hunt: ḳ-əm-alʸup
husband: ¢əkəlʸ
ice: sulya
if: saka-nu
I: ti-akən
kill: ḳ-əm-¢i
knee: ¢uŋaḷ
know: k-əm-ə1ʸaŋ
lake: ḷacuk
large: kuḍaḷ
laugh: ɟ-əm-əḷi
leaf: asaw
left: ka-viri
leg: vutə-vut-an
lie: ki-taŋə¢
liver: ḳa¢ay
live: valʸualʸut
long: ḷaḍuḳ
louse: ta¢u
man: uķalʸay
many: ḷiaw
meat: vuculʸ
moon: ḳilʸas
mother: kina
mountain: daŋa-daŋas
mouth:  aŋalʸ
name: ŋadan
narrow: kulʸay
near: i-a-dut
neck: ḷiḳu
new: vaḳu-an
night: ḳэ-zəmə-zəmэc
nose: ŋuɟus
old: vuḷu-vuḷuŋ
one: ita
person: ¢aw-¢aw
play: ki-vaŋa-vaŋ
pull: r-əm-aka¢
push: z-əm-uruŋ
rain: ḳuɟalʸ
red: ḳu-ɟiɟilʸ
right: ka-navalʸ
river: pana
road: jaḷan
root: kapaz
rope: ¢aḷis
rotten: na-ma-¢əmu
round: ḷiŋulʸ
rub: ɟ-əm-uas
salt: ḳatia
sand: gadu
say: c-əm-umalʸ
sea: lʸavək
sea: lʸavək
seed: cəlʸay-an
sew: ¢-əm-aḳis
sharp: raɟay
short: dikic
sing: s-əm-ənay
sit: ḳ-əm-ilaj
skin: ḳalʸi¢
sky: kə-ḷəvəḷəv-an
sleep: taḳəd
small:  kəḍi
smell: s-əm-əḳu
smoke: ¢əvulʸ
smooth: ḳ-al-amə-ḳam
snake: ḳacuvi
snow: sulya
spit: j-əm-ilay
split: min-¢aḷaḳ
stab: ɟ-əm-ui
stand: mi-ga¢alʸ
star: vicuḳ-an
suck: s-əm-əlʸup
sun: ḳadaw
tail: iku
they: ti-a-maju
thick: kuḍəməḷ
think: ḍəmэḍəmə
thin: lʸusəpit
thou: ti-mun
thou: ti-sun
three: cəḷu
throw: v-ən-əri¢
tie: v-ən-əŋəty
tongue: səma
tooth: alʸis
tree: kasiw
two: usa
vomit: mucaḳ
warm: ma-¢ulʸu
wet: cəvə-cəvəŋ
what: a-nəma
when: nuŋida
which: i-nuan
white: vu-təḳi-təḳily
who: tima
wide: mə-ḷava
wife: ¢əkəІʸ
wind: vali
wing: kapə-kap
woman: va-vay-an
worm: ḳacuḍay
wrong: pa-saḷiw
year: ¢avilʸ
yellow: ḳu-lʸiza-lʸizar
