all: te
ankle: nggë
ankle: ŋgə
arm: mi-të
arm: mi-tə
arm: mi-tëgh
arm: prakuto
arm: prakuto
arrow: vra
ashes: nfi-tu
ashes: ßitʰu
ashes: vitu
ashes: vi-tu
at: -bu
at: -(ng)ku
bad: nambëchi
bad: nambəči
bad: nyámbic
belly: čado
belly: calo
belly: calo
belly: chado
belly: nsi
big: bëdëróva
big: lowe
big: lówe
big: rove
big: rove
bird: këlo
bird: kəlo
bird: koró
bird: kro
bird: kro
bird: kuro
bird: kuro
bite: ëganda
bite: əganda
bite: kui
bite: kui
bite: kwi
black: ngëngë
black: ngë-ngë
black: ŋəŋə
blood: ku
blood: ku
blood: ku
bone: ghratë
bone: gla:t
bone: grato
bone: ɣratə
boy: nduari
breast: cu
breast: cu
breast: tsa
breast: tsa
brother: kë
brother: kə
brother: to
butterfly: fɨ
butterfly: fï
butterfly: kobabu
butterfly: kuwi
butterfly: kuwi
butterfly: lúca
calf: moča
calf: mocha
cassowary: kranï
cheek: rëto
cheek: rəto
child: duari
child: ndu
child: ndu
chin: kaka-grë
cloud: gra-ča
cloud: gra-cha
cloud: wëghú
cloud: wəɣu
cold: u\u
cold: uʔu
come: kupar-
come: kwanggëpë
come: kwaŋgəpə
crocodile: i
crocodile: ʔi
crocodile: i:
cut: granse
cut: granse
day: ŋənə
die: sëbnati-
die: sïnggínma
dig: rora\-ai
dog: aɣa
dog: ëgha
dog: gha
dog: ha
dog: ha
drink: kpa mi-
ear: lomu
ear: romu
ear: rum
ear: rum
earth: ngë
earth: ŋə
earth: ŋinǯar
earth: ngö
earth: nichagwi
earth: wu-në-ji
eat: mi
eat: -mi
eat: m-i
eat: nimi
egg: këlo-Na
egg: kəloŋa
egg: nu
egg: nu
egg: tálamu
elbow: mi-këdu
elbow: mi-kədu
emu: kranɨ
excrement: cha
eye: pëli
eye: pəli
eye: pëlí
eye: pez
eye: pez
eye: pïri
eye: pɨri
face: fi
face: fi
fall: -rie-
father: nándo
father: ndo
father: ndo
fat (n.): tu´pëlosa
fat (n.): tupəlosa
fear: proba-
finger: mi
finger: mi
finger: minzo
finger: moraku
finger: moraku
fingernail: mi-vra
fingernail: mi-vra
fire: ɲañ
fire: mvɨdə
