all: d\ahan
ashes: ben
bark: medah
belly: ur
big: abur
bird: čɨmbir
bite: xanin˗
black: d\a
blood: d\ig
bone: laf
breast: nahas
burn: gub˗
claw: gofən
cloud: dubbət
cold: rufod\a
come: kale
die: yumu
dog: kar
drink: d\əm
dry: aŋgage
ear: dogo
eat: ħün˗
egg: ukun
eye: indo
father: aba
fat (n.): subaħ
fire: dəb
fish: yɛl
foot: luħ
give: kɛn˗
good: ħagɛ
grass: ħøs
hair: tɨm
hand: farro
head: mətaħ
hear: dag˗
heart: wəyam
horn: gas
I: an(i)
kill: gis˗
knee: ǯɨlɨb
know: gar˗
leaf: xadaħ
liver: ħalesi
long: dɛr
louse: ɨnǯɨr
man: mɛǯɛl
many: omar
meat: ǯɨd
moon: yɛya
mountain: kur
mouth: af
name: məgəča
neck: luxum
new: ʕøsub
night: iben
one: kou
red: gudud
road: ǯit
root: ħay
sand: yoħanti
say: dah˗
see: gɛr˗
sit: fɨddiso
skin: maxɛl
sleep: udur˗
small: načul
smoke: um
snake: tof
stand: tolo˗s
star: bakal
stone: dəgaħ
sun: orra
tail: dub
this: kən
thou: ati
three: seyyɛh
tongue: harrəb
tooth: ilko
tree: gey
two: lama
walk: ir˗
warm: kullul
water: bičeʔ
we: in(no)
what: amaħai
white: daħnan
who: aiyo
woman: obori
you: atin
