all: bugmag
ankle: duŋunma
arm: managne
arm: ŋɔburna
ashes: di\na
back: balmane
back: balmane
bad: gaːŋar
bark: gula\na
belly: giːna
belly: giːna
big: gaḷine
bird: rɛː
bite: ŋaɲam
bitter: buma\ɛ\ɛ
black: ŋuḷiyi
blood: gulbana
blood: gulbana
blow: -bi\bi\
blow: -dul\gara
bone: balmana
bone: balmana
boy: wirinmal
boy: yäbi
branch: mɔmɔṇagalɛr
breathe: gaŋɛṛ
brother: muru
brother: waː
burn: galɛr
burn: -lɛːr
butterfly: buṇba
cheek: gɛːŋ
chest: biṛana
child: dagu
chin: damuna
cloud: gagunuŋbol
cold: ŋulwiɟ
come: -bɔ-
correct: dunbur
crocodile: gaɾugaɾu
cut: -riɟ-
dark: goḷgoḷg
daughter: ya-
day: dabadabar
day: gɛgubur
die: -ɲar\-
die: ɲar\min
die: -roŋ\min
dig: buri
dirty: ŋɔlɪː
dog: ɟaːmu
drink: -ɾɔm
dry: búṛug
ear: ganam
earth: ɟulggɔ
eat: -ŋu-
egg: galaŋna
elbow: noŋgurna
eye: gainɟuʎa
eye: gainɟulya
eye: giriŋgir
face: miḷgir
fall: -ɾu\min
father: ɲara
father: ɲara-
fat (n.): gudne
fear: wiː
fear: wiː
feather: binbarna
few: waŋard\g\
fight: marad\n
finger: ɟaŋana
finger: laŋine
fire: ŋuɹ̣a
fire: ŋuṛa
fish: ɟɛɲ
fly (n.): buad
fly (n.): buwad
fly (v.): -bɔlɔ
fog: gaiyur
foot: ɟaŋana
forehead: miḷgir
forest: gɪlɪ
full: gadalwiːman
full: -gɔḍɔ
girl: dogune
girl: yaugyaug
give: -dɛ\wa-
good: wula
grass: ruːḷg
green: gulguwal
hair: murɔl
hand: la ŋina
head: ɟara
head: ɟara
hear: -ŋawa-
hear: -ŋawa-
heart: ŋɛ\na
heavy: gungun
he/she: niʔda
hit: -ɾi-
hold: -mɔd-
house: bala\
husband: biːna
I: ŋinda
I: ŋinda
kangaroo: bulaiɟ
kangaroo: bulaiɟbulaiɟ
kill: -mara-
knee: mabol\na
know: marŋgi
lake: dɛːɛn
laugh: -wag
leaf: bɛl\na
left: balawɛriŋgɔŋ
leg: gandane
leg: gurgurna
lie: -yuro
lightning: gamaɾu
lip: -diyälŋ
live: -dura
liver: malɔgna
long: giaŋgiaŋ
long: miɟinde
louse: mid
man: biː
man: biː
many: ɟubuyubul
meat: daŋgune
meat: daŋgune
moon: gurŋa
moon: gurŋa
morning: gureɟinda
morning: munagogolggɔlaniyu
mosquito: bɔlbu
mother: daŋala
mountain: miḷgiri ɟundɔ
mountain: miḷgiri ɟundɔ
mouth: diːyalŋ
mouth: diːyalŋ
name: ŋɛː
nape: gŭamna
navel: nan\r
near: belinda
neck: gŭamna
new: guḷguwal
not: malag
old: ɟawalba
old: miɟindagan
one: waŋginda
other: buː
person: biː
play: luga
rain: ɲaːḷg
rat: ɟirggin
red: badamigu\yi
right: dunbur
ripe: bulguna
river: buṛg
river: buṛg
road: mɔlɔna
root: mɔlɔ
rope: balgu
rope: balgu
rotten: nuruna
round: gɛŋgulo
rub: -gɔŋɔr
sand: ɟulggɔ
say: -ɲaug
say: -ɲaug-
scratch: -yur-
sea: baːṛŋ
seed: gainɟulana
see: -na-
see: -na-
sharp: mara\ma
short: gɔḷɔ\na
shoulder: galbalɛna
sing: -ŋɛɟa
sister: yabba-
sister: yabba-
sit: -nuṛa
skin: gula\
skin: gula\war
sky: buräḷguɟa
sleep: -yuno
small: dagunagaɲa
smell: bɔbman
smoke: dɔːḷŋ
smoke: dɔːḷŋ
smooth: yirgirg
snake: raŋaraiɟ
son: yaː-
stand: -duṛu
star: gaɲu
star: maṛamaṛa
stone: ɟundo
stone: ɟundo
sun: muda
sun: muda
sweet: daːɾa
swim: -wariyira
tail: gandana
take: -miya
take: yaraŋamia
there: nadi\ɟa
they: bundagabbul
they two: bundabara
thigh: dumuna
think: minɟibun
thin: lɔrɔgnɔ
thou: danda
thou: nagundagabbul
three: ɟubuɟubun
throat: maŋana
throw: -war\
thunder: gamur
today: dawa
tomorrow: gurariɟi
tongue: diyalŋ
tongue: diːyalŋ
tooth: bumana
tree: bɔlɔ
turn: -bɔlɛd
turn: bolɛdgara
two: yäbban
vomit: gagolo\
walk: -bagudgude
walk: ŋaṛa
wallaby: narggo
warm: m\ndar\man
wash: ŋawulub
wash: -wulul
water: ɟula
water: ɟula
weep: -ṛu-
we (excl.): yandagabbul
we (incl.): yaggabbul
we two (excl.): yanabara
we two (incl.): yabbara
what: yana?
when: yiniɟi?
where: yana\?
white: badaŋiriyi
who: yana\gun
wife: diŋ\
wind: ŋɔndɔ
wing: binbarne
woman: diŋ\
woman: diŋ\
woman: diŋʔ
wood: ŋuṛa
woomera: balawạgwạg
yellow: budagamu-nuŋgu\yi
yes: yoː
you two: nagundabara
