all: doduru
and: meke
animal: kurukuru
ashes: eba
back: mudi
bad: kaleana
bark: kapu huda
because: sina
belly: boɣu
bird: kurukuru
bite: ɣarata
black: muho
blood: ehara
blow: ivua
bone: susuri
breast: susu
breathe: siŋo
burn: sulua-
child: koburu
cloud: lei
cold: ibu
come: mae
correct: toŋoto
count: nae
cut: maɣu
die: mate
dig: ɣeli
dirty:  boni
dog: siki
drink: napoa
dry: popa
dull: pako
dust: kavuru
ear: taliŋa
earth: pepeso
empty: paho
eye: mata
fall: moʰo
far: seu
father: tamana
fat (n.): deana
fear: mataɣutu
few: visvisa
fingernail: visvisu kakarutu
fire: yak
fish: iɣana
five: lima
float: ale
flower: havoro
flow: totolo
fly (v.): tapuru
fog: kovele
foot: nene
forest: muge
four: made
frog: bakarao
fruit: vua huda
full: siŋi
give: ponia
good:  leana
grass: duduli
green: buma
guts: laγu
guts: laγu
hair: kalu
hand: lima
head: batu
hear: avoso
heart: bulo
he: asa
heavy: mamata
hit:   sekea
horn: kikiho
how: veγua
hunt: hukue
husband: palabatu
I: arau
ice: [aisi]
if: be
in: korapana
kill: tavamate
knee: tuŋtuŋu nene
know: ɣilania
lake: kopi
large: nomana
laugh: heɣere
leaf: elelo
left: kaliɣede
leg: nene
lie: eko
liver: bero
live: toa
long: ɣelena
louse: ɣutu
man: koreo
many: soku
meat: masa
moon: sidara
mother: tinana
mountain: togere
mouth: ŋuzu
name: pozana
narrow: ŋirisi
near: tata
neck: rua
new: vagura
night: boŋi
nose: isu
old:   koana
one: kekr
person: tie
play: loplopi
pull: dakua
push: zuzua
rain: ruku
red: ziŋara
right: kalimatao
river: leana
road: siraŋa
root: dadaɣa
rope: iku
rotten: muzi
round: bobolokuhae
rub: tavusia
salt: [solo]
sand: onone
say: zamania
sea: kolo hokara
sea: kolo hokara
seed: kiko
sew: pitpiti
sharp: ŋaru
short: papaka
sing: kera
sit: habotu
skin: kapu
sky: maŋauru
sleep: puta
small: hitekena
smell: humaŋa
smoke: tuŋaha
smooth: memehe
snake: noki
snow: [sinou]
some: kaiga
spit: loro
split: vigala
stab: hova
stand: turu
star: pinpino
stick: kolu hodu
straight: toŋoto
suck: nonopo
sun: rimata
tail: pikutu
they: arini
thick: moata
think: balbala
thin: manivisi
thou: aɣoi
thou: vamu
three: ŋeta
throw: ɣona
tie: pusia
tongue: mea
tree: huda
turn: e-efo
two: karua
vomit: lua
warm: maŋini
we: ɣita
wet: boboso
what: sa
when: totoso sa
which: avei
white: keoro
who: esei
why: naveɣoa
wide: labe
wife: barikalege
wind: ɣivusu
wing: tatāpuru
woman: barikalege
worm: pilaka
wrong: sea
year: vuaheni
yellow: meava
