all: muru
bird: tui
bone: funii
child: warabi
come: kuyun
count: yumun
dog: in
ear: min
egg: kuuga
flower: hana
heart: chimu, kukuru
here: kuma
I: wan
leaf: faa
man: wikiga
many: ippee
mother: anma
mountain: yama
name: naa
night: yuru
nose: fana
one: tiichi
person: fitu
play: ashibun
rain: ami
road: mitsi
say: yuun
see: nchun
sing: utayun
sky: sura
snow: yuchi
star: fushi
sun: tiida
thou: unjuu
three: miichi
tooth: fa
tree: kii
two: taachi
walk: acchun
water: mizi
we: wattaa
what: nuu
where: maa
who: taa, taru
wind: kaji
woman: winagu
