all: bilaŋ
and: dait
animal: [səsato]
ashes: awuk
back: buŋkak
bad: Iəŋe
bark: lendoŋ kayuʔ
because: seŋaʔ
belly: tian
bird: kədit
bite: kekeʔ
black: birəŋ
blood: daraʔ
blow: pəpək-aŋ
bone: tolaŋ
breast: susu
breathe: əmbok
burn: sulu
child: anak
cloud: awun-awun
cold: ñət
come: datəŋ
correct: kənə
count: ituŋ-aŋ
cut: pəloŋ
die: mate
dig: kali?
dirty: gəmi
dog: ačoŋ
drink: inəm-an
dry: goro
dull: koŋol
dust: kləpuk
ear: kəntok
earth: [bumi]
egg: təloʔ
egg: təloʔ
empty: [kosoŋ]
eye: matə
fall: ma
far: ǰaoʔ
father: amaʔ
fat (n.): Iəmu
fear: takut
few: sə-kədiʔ
fingernail: tika-n
fire: api
fish: əmpaʔ
five: limə
float: ompal-ompal
flower: kəmbaŋ
fly (v.): kelep
foot: nae
forest: gawah
four: əmpat
frog: lepaŋ
fruit: buaʔ
full: pənoʔ
give: ŋə-beŋ
good: solah
grass: pupaʔ
green: iǰo
hair: bulu
hand: imə
head: ulu
hear: n-dəŋah
heavy: bərat
he: niə
hit: ŋ-əmpuk
horn: soŋot
how: brəmbe
husband: sə-mamə
I: aku
ice: [es]
if: anden
in: daləm
kill: mate-aŋ
knee: kəkətut
know: taoʔ
lake: [təlagə]
large: bəleʔ
laugh: ŋə-ləleʔ
leaf: daun
left: kiri
leg: nae
lie: ŋə-rəba?
live: irup
liver: ate
long: belo
louse: gutu
man: mamə
many: loeʔ
meat: эmpaʔ
moon: bulan
mother: inaʔ
mountain: gunuŋ
mouth: biwih
name: aran
near: rapət
neck: bəloŋ
new: baru
night: kэləm
nose: iruŋ
old: toaʔ
one: səkek
person: dəŋan
play: bə-kədek
pull: awek
push: soroŋ
rain: uǰan
red: abaŋ
right: kanan
river: kokoʔ
road: laŋan
root: akah
rope: tali
rotten: loas
round: bolət
rub: osok
salt: siə
sand: gəres
say: bər-uni
sea: [səgarə]
sea: [səgarə]
seed: ampar
sew: ñ-ǰait
sharp: məraŋ
short: dendeʔ
sing: ñañian
sit: tokol
skin: lendoŋ
sky: laŋit
sleep: tendoʔ
small: kode(ʔ)
smell: ñiruk (siruk)
smoke: asəp
smooth: alus
snake: ulah
some: pirə
spit: tiǰuʔ
split: ŋə-bəlah
stab: galah
stand: ŋ-añǰəŋ
star: bintaŋ
stick: tuñǰaŋ
suck: sərut
sun: ǰəlo
tail: eloŋ
they: niə
thick: təbəl
think: aŋən-aŋən
thin: tipis
thou: kamu
thou: kamu (səlapuʔ)
three: təlu
throw: plewas
tie: naliʔ (tali-ʔ)
tongue: əlaʔ
tooth: gigi
tree: lolon
turn: (badiŋ)
two: duə
vomit: utak
warm: panas
we: itə
wet: basaʔ
what: apə
when: piran
which: əmbe
white: putiʔ
who: sai
why: kembeʔ
wide: goar
wife: sə-ninə
wind: aŋin
wing: kletrk
woman: ninə
worm: loŋə
wrong: kə-salaʔ-an
year: taun
yellow: kuniŋ
