all: ɟʝɛn
animal: inataŋ
ashes: yɛtʰ
bark: ʔɔp
belly: rɔq
bird: sɛl
bite: ɗɔp
black: suzus
blood: ɲif
blow: fuɗis
bone: ʔžɔx
breast: ɓip
burn: dɔx
child: kɔmaki
cloud: huyi
cold: sɔs
come: haʲ̌a
count: kɪn
die: kan
dig: ʔum
dog: ɓu
drink: ʔan
dry: suʲ
dust: ɗuku
ear: nœf
earth: kɛkeʲ
eat: ɲam
egg: wʌq
eye: xas
fall: kɛn
father: cçacyar
fat (n.): fažum
fear: nɛkʰ
feather: pap
fingernail: cçakəna
fire: žɔŋkʰah
fish: cçurun
five: žatus
fly (v.): pʰun
foot: kʰɔtʰ
four: nikis
full: rif
give: ʔɔnɔx
good: bax
guts: lir
hair: finfan
hand: ʔžax
head: xaf
hear: kerax
heart: ŋgum
hit: labit
horn: yicʰ
house: kahan
husband: yarfu
kill: ʔap
knee: yi
know: ʔinax
laugh: ɲyɛn
leaf: saf
lie: fanuq
liver: kɛɲ
long: hut
long: hut
louse: ɗiɲ
man: yar
many: lažit
moon: cçaɓin
mountain: taŋgɔ
mouth: ŋgup
name: tik
navel: kuzun
neck: mbɔx
new: ʔas
night: kɔxoɓi
one: žinɔʔ
person: ɓɔ
play: ʔaʲǯɔx
pull: nɔq
push: žɛɲ
rain: tɔp
red: rumɪn
river: lax
road: was
root: nir̥
rope: niʔ
round: tembit
salt: miða
sand: merɛx
say: wɔ
scratch: ɔcçuq
seed: tizɔx
see: xɔtʰ
short: rɔhɔʲ
sing: yɛkʰ
sit: ɓof
skin: ʔun
sky: ɛlcçi
sleep: nɛx
small: yisutʰ
smoke: ɗuku
snake: ʔiɲ
spit: ɓof
split: ɓɛs
squeeze: ɗif
stand: kuruk
star: xɔr
stone: ʔatɔx
suck: ɓus
sun: nɔh
swell: uvis
swim: yec
tail: kɔzɛ
take: rɔq
three: kahaʲ
throw: nɟʝaf
tongue: pɛʔdɛm
tooth: sis
tree: kidik
two: kanak
vomit: bɔtʰ
walk: tʰin
warm: dam
wash: ɓɔquq
wash: nau
water: mazup
what: žɛə
white: žanoʷ
who: žaba
wife: ɓitifu
wind: puɗis
wing: pap
woman: ɓitip
wood: sɔkɔɲ
year: kʰis
