ashes: buː
belly: mɛ̀
big: ngal
bird: ɛ̀ɛːl
black: ndùl
breast: mbà
burn: o͂o
come: ɗɛ̀ː
cut: ìnɟà
dog: bísiː
drink: ˗ə̀yiː
ear: mbiː
eat: ˗ùsà
egg: kə̀w˗
eye: kə̀m
fire: pə̀r
fish: kaːnɟiː
foot: gɔ̀l
give: àaːr
hair: ìngà˗
hand: ɟiː
head: dɔ̀
he/she: neː
he/she: neː
I: maː
kill: tɔːl
knee: nə̀kə̀ɟì
meat: dəː
moon: nəːy͂
mouth: tà
one: kə́rəː
red: kàsə̀
sand: nə́ngə́raː
see: ˗òoː nɛ́
sit: ˗ìsì
small: gɔ̀ɟì
stand: ˗ə̀r
sun: kàr
that: nu
they: deː
this: neː
thou: iː
thou: sei
three: mùndá
tongue: ndòː
tooth: ngaːngəː
tree: kaːgəː
two: ɟoːó
walk: ˗àwuː
warm: túngaː
water: màaːn
we: ɟeː
white: ndà
who: ná
