all: tuttu
and: e
animal: armalu
at: a
bad: malu, tintu
because: pirchì
big: rossu, ranni
bird: aceddu
black: niuru
blood: sangu
bone: ossu
breast: minne
child: picciriddu
cold: friddu
come: véniri
count: cuntari
cut: tagghiari
day: jornu
die: móriri, muriri
dirty: lordu, fitusu
dog: cani
drink: bíviri
ear: séntiri, ascutari
eat: manciari
egg: ovu
eye: occhiu
far: luntanu
father: patri
few: picca
fingernail: ugna
fire: focu
fish: pisci
five: cincu
flower: xuri
fly (v.): vulari
fog: negghia
foot: pedi
four: quattru
fruit: fruttu
full: chinu
give: dari
good: bonu
grass: erva
green: virdi
hair: capiddi
hand: manu
head: testa
hear: séntiri, ascutari
heart: cori
heavy: pisanti
he: iddu
here: cca
how: comu
husband: maritu
ice: ghiacciu
if: si
I: Iu, Jo, Eu
kill: ammazzari
knee: dinocchiu
know: canúsciri
lake: lacu
left: sinistra
liver: fícatu
man: omu
many: assai
moon: luna
mother: matri
mountain: muntagna
name: nomi
near: vicinu
neck: coddu
new: novu
night: notti
nose: nasca
not: nun
old: vecchiu
one: unu
other: áutru
person: pirsuna
play: jucari
pull: tirari
push: spínciri
rain: chióviri
red: russu
right: destra
river: xumi
road: strata
sand: rina
sea: mari
see: vídiri
short: curtu
sing: cantari
sit: assittárisi
skin: peddi
sky: celu
sleep: dórmiri
small: nicu
smoke: fumari
snow: nivi
star: stidda
stone: petra
straight: rittu
suck: sucari
sun: suli
swim: natari
that: chiddu
there: dda
they: iddi
think: pinzari
thin: siccu
this: chistu
three: tri
tongue: lingua
tree: árbulu
turn: vutari
two: dui
vomit: lanzu
walk: caminari
warm: caudu
wash: puliziari
water: acqua
we: nuautri
when: quannu
where: unni
who: cu
wife: mugghieri
wind: ventu
with: cu
woman: fimmina
year: annu
yellow: giarnu
you: tu
