ashes: igəd
bird: ašt̪it̪
breast: ifəf
brother: uma
chest: idmarən
dog: aidi
ear: tamaǯit
fall: ut̪a
fat (n.): tædumt
fear: əɟɟəd
few: druːs
finger: t̪aːd̪
fire: timsi
fly (n.): izi
give: uːš
head: igf
hit: awət
horn: išš
how: maməc
louse: cureli
louse: tillit
moon: tiziri
mother: yəmma
navel: timit
neck: iri
old: ussər
one: išt
one: ižən
rain: ænzər
root: azər
salt: tisənt
say: əmməl
skin: aɟlim
son: məmmi
star: itri
sun: tafuit
sweet: taməmt
thunder: iǯəɟ
tie: aɣɣən
tooth: isin
wash: sira
wind: at̪u
wind: təɟɟrəst
yesterday: assənat̪
