arm: me
ashes: dzoeʔ
bark: sɔkɔ
bone: sie
breast: sosoʔ
brother: kpamu
burn: dzo
dog: kpedɔ
ear: kodze
eat: ne
eye: dzeŋe
fingernail: dziwiri
fire: misi
foot: kege
full: hisɔ
hair: sɔkɔdiʔ
head: kumɔ
he/she: oe
I: nani
knee: duke
leaf: yotu
leg: kege
long: dari
louse: ime
mother: neŋgoʔ
mouth: kou
name: dzeŋe
neck: ube
new: gbereʔ
rain: kio
sand: mage
say: mo
short: muru
sister: kpae
skin: sɔkɔ
sleep: gone
smoke: modoʔ
spit: so\oʔ
star: damasi
straight: dɔndɔne
sun: wɔgo
thou: ga
thou: ŋɔ
tie: kɔi
tongue: bero
tooth: kon
warm: hotɔneʔ
water: rapaʔ
we: ne
wind: dzeru
wing: fɔge
