all: kul
animal: adabba
animal: alzɛka
ankle: cæ mongo͂
arm: kamba
arrow: birawizæ
arrow: ya¶izæ
ashes: bonni
ashes: borhon
ashes: bosu
back: banda
bad: futa
bad: lala
bad: sarhabuna
bark: kokosi
bark: kuru
bark: linɟi
because: kaya kan šɛ
because: za
because: zama
belly: bina
belly: binobongo
belly: borkoto
belly: gunde
belly: kuna
belly: wišini
belly: yubu
big: bambata
big: bɛbɛri
bird: ciraw
bite: ɲama
bite: kaːma
bite: nama
bitter: hotta
black: bi
black: bibi
blood: kuri
blow: funsu
blow: funsugi
blow: hæ
bone: biri
branch: aigali
breast: fafa ˈˈmamelle\
breast: fafu
breathe: guba
breathe: hinhin
breathe: hunsar
brother: arma~ɛrma
brother: bæræ
brother: kɛynæ
brother: sakaramma
burn: di
burn: hutæ
burn: kukurɛy
burn: nin
burn: numæ
burn: ton
burn: ton
calf: bilinkɛy
calf: busal
calf: cæ sokota
cheek: garba
cheek: lakal
chest: ganday
child: badda
child: ¶bɛw
child: izæ
child: karga
child: kowa
child: zanka
chin: tono
claw: boy
claw: cæboy
claw: kababoy
cloud: dula
cold: jhargu
cold: marasa
cold: yɛyni
come: hun
come: ka
come: te
come: zulli
correct: sawa
count: alasabu
count: kabu
count: žimaw
cut: doːno
cut: dumbu
cut: fɛʈæ
cut: kottu
cut: šɛrcɛ
cut: telfu
cut: wi
day: dirbi
day: han
day: hane
day: hi
day: hinò
day: mo
day: zari
die: bu
die: bu
die: buna
die: buri
die: faːti
dig: fani
dig: fanši
dig: fiɟi
dig: kokoso
dirty: žibi
dog: hanši
drink: haŋ
dry: koga
dust: ʈɛlloru
dust: kusaw
ear: hanga~haŋa
earth: dau
earth: ganda
earth: kasam
earth: labu
earth: makkaran
eat: ɲɛmti
eat: ŋa͂ kaːma
eat: taːbu
egg: guri
elbow: honkoro
eye: mo
face: (mp)ndumo
fall: kaŋ
fall: soloklu
fall: zaku
fall: žɛb
fall: žɛu
fall: zititi
far: moːra
father: baba
fat (n.): mani
fear: humbur
fear: humburɛy
feather: fita
feather: kalam
few: kaʈu
few: kɛyna
fight: alfitina
fight: tangam
finger: cæ kabaro
finger: gaŋ
finger: kaba kabaro
finger: kaba kobaro
finger: kabizæ
fingernail: kababoy
fire: nunæ
fish: ham
fish: ham isa
fish: hari
fish: isa ham
five: ggu
float: doy
float: doy doy
flow: do
flow: dori
flow: hurgu
flow: ɟisi
flow: loti
flow: mun
flow: sundu
fly (n.): bimbim
fly (n.): hamni
fly (v.): dɛši
foot: cæ
foot: cæ kora
foot: kobsi
forehead: tɛnga
forest: sa¶i
four: taːʈi
fruit: izæ
full: bɛrɛndi
full: sisigi
full: to
full: to
girl: hondiaw
girl: wɛy soga
give: no
good: aːna
good: bɛnta
good: bono
good: daːma
good: gumo
good: hɛnna
grass: subu
green: firzi
hair: hamni
hand: kaba
hand: kamba
hand: ¶uka
head: boŋ
head: kanši~kobsi
hear: ma
heart: bina
heavy: tinga
here: ne
he/she: a
he/she: a
he/she: a
he/she: a
he/she: a
he/she: a
he/she: nga
he/she: nga
he/she: nga
he/she: nga
hit: kar
hit: som
hit: stu
hit: zɛb
hit: žɛu~žoɛ
hole: botol
hole: funi
hole: gusu
hole: mo
hole: ndolla
horn: hilli
house: garu
house: hugu
hunt: garɛy
hunt: ho
hunt: wiri
husband: kurɲæ
I: agɛy
I: agɛy
I: ay
I: ay
ice: digi
I: ɛy
if: nda
if: wala
in: gan
kill: wi
knee: kanga
know: bay~bɛy
leaf: fita
leaf: hanga
leaf: kauta
left: kaba lala
left: kaba wawa
leg: cæ sorongu
lie: ganda biri
lie: hangasu
lie: hanga zor
lie: kaŋ
lie: kani
lip: mæ bena
