all: nanëmënë
ankle: otto segarru
ankle: otto segarru
arm: ma
arm: ma
arm: më
arm: më
arm: yaːrʌ
arm: yaːrʌ
arrow: fəla
arrow: fəla
arrow: feraː
arrow: feraː
ashes: mau
ashes: ondo-wai
ashes: ondo-wai
ashes: ondo-wai
ashes: ondo(wai)
ashes: ontoro(man)
at: dë
at: na
back: marʌ
back: marʌ
back: mokodu
back: mokohu
back: mokotu
back: moqodu
back: moxoxu
bad: hanggëla
bad: himi
bad: himi
bad: ikëlo
bad: lebaːm
bad: lebaːm
bad: nebaːm
bad: nebaːm
bad: pegho
bad: peko
bad: peko
bark: o-lang
bark: o-rang
bark: o-wa
bark: o-wa
belly: yadele
belly: yahele
belly: yahëlë
belly: yaherre
belly: yaherre
belly: yarëlë
belly: yarere
belly: yatëlë
belly: yatere
big: dundum
big: duntum
big: kabam
big: kabam
big: kabang
big: kabaŋ ~ kabam
big: kabaŋ ~ kabam
big: kaban(i)
big: kamam
big: kamam
big: kamam
big: kaman(g)
big: qabam
big: xabam
bird: aye
bird: aye
bird: aye
bird: aye
bird: aye
bird: ayë
bird: ayɛ
bird: ayɛ
bite: aɣe-
bite: aɣe-
bite: aghë-
bite: aqe-i(-bo)
bite: nanë-
bite: nawəi-
bitter: färë
bitter: färə
bitter: färə
bitter: fedë
bitter: petë(-xële)
black: ebe
black: ebe
black: noghombi
black: noko-man
black: nokombi
black: nokombi
black: nokom-nokom
black: nokomom
black: nokomom
black: noko-mom
black: noko-mom
black: nokong
black: noɣombi
black: noɣombi
black: noqomam
blood: haː
blood: haː
blood: ha(a)
blood: nimoko
blood: oggiːb
blood: oggiːb
blood: o(i)ki
blood: oke
blood: oki
blood: oki
blood: oki
blow: mapëwë
blow: mawë-
blow: mawə-
blow: mawə-
blow: mawesi
blow: mawisi
bone: bo
bone: bo
bone: bo
bone: bo
bone: boːh
bone: boːh
bone: po
bone: po
bone: po
bone: po(a)
branch: akau
branch: aqau
branch: minsa
branch: minsa
branch: minsa
branch: minsa
branch: si
branch: si
breast: nëmbu
breast: nime
breast: nime
breast: nimë
breast: nimë
breast: nimeb
breast: nimeb
breast: nimë-pëu
breast: nombu
breathe: eumau
breathe: eumau
breathe: nimə
brother: ara
brother: araberɛ
brother: araberɛ
brother: axa
brother: eneu
brother: monya
brother: ugwaxa
burn: bloudike
burn: borousike
burn: honë
burn: kraufige
burn: kraufige
burn: polo-polo
burn: pulofike
burn: pulo-pulo
butterfly: ai bumbu
butterfly: ai bumbu
butterfly: ai-mangkungkung
butterfly: aye-pumpum
butterfly: aye-pumpum
calf: oro-kim
calf: oro-muxolum
calf: orrʌgiem
calf: orrʌgiem
calf: orrʌ gommaːnu
cassowary: aubangkë
cassowary: aubaqë
cassowary: a(u)pangke
cassowary: këtëwari
cassowary: manggung
cassowary: mangkum
cheek: kadu
cheek: kahu
cheek: kahu
cheek: kahu
cheek: katu
cheek: qadu
cheek: qaru
cheek: tawa
cheek: tawa
cheek: xasexa
chest: nime
chest: nime
chest: nimoko
chest: nimoko
chest: nimoko
chest: nimoqo
chest: yërëromëxoxu
child: fa
child: fa:
child: fa:
child: ki
child: pa:
child: taipa (faːfaː)
child: taipa (faːfaː)
chin: ?aišorra
chin: ?aišorra
chin: häisaɣa
chin: häisaɣa
chin: häi-sagha
chin: häi-saqa
chin: hei-saga
chin: hei-saga
chin: sei-saga
chin: xe-saxa
cloud: manggo
cloud: maŋgo
cloud: maŋgo
cloud: mangko
cloud: mangko
cloud: wau
cloud: wau
cold: him
cold: him ~ sim
cold: him ~ sim
cold: manah
cold: manah
cold: nuqu
come: me
come: me
come: me
come: mëi
come: mëi
come: mëi
come: më-i
come: məi
come: məi
come: mele
come: məwə
come: məwə
come: mre
count: päi
count: päi
crocodile: kaikulum
crocodile: kaikurung
crocodile: ka inkerum
crocodile: ka inkerum
crocodile: kamënda:ka
crocodile: qaikulum
crocodile: qaikulung
cut: akënë
cut: nəi-
daughter: miŋge
daughter: miŋge
daughter: omi
daughter: omi
daughter: omi
daughter: omi
day: da:i
day: da:i
day: da:i
day: rai
day: ya
day: ya
day: ya:
die: hede(ke)
die: hede(ke)
die: hërë
die: hərə
die: sedenderoi
die: sedenderoi
die: seder
die: tete(ke)
dig: wäiboi-
dig: wäiboi-
dig: wäiboi-
dirty: niki
dirty: niki
dirty: niki
dirty: niki
dirty: niki
dog: yoghu
dog: yoku
dog: yoku
dog: yoku
dog: yoku ~ yoɣu
dog: yoku ~ yoɣu
dog: yoqu
dog: yorru
dog: yorru
drink: ama-him
drink: anë-i(-si)
drink: anesi
drink: anesi
drink: (bu-)aneisi
drink: puančɛ
drink: puančɛ
dry: axëraukoxe
dry: kalai
dry: kalai-
dry: kala-kala
dry: karaukoxe
dry: karaukoxe
dry: këlëng-këlëm
dry: kërëng-kërëng
dry: qëlëng-këlëm
dry: xembekwoxe
ear: amggai
ear: äŋgäi
ear: äŋgäi
ear: änggäi
ear: aŋgɛi
ear: aŋgɛi
ear: angkäi
ear: angkei
ear: angkei
ear: ängkei
earth: kami
earth: kani
earth: kani
earth: kani
earth: kani
earth: kani
earth: kani
earth: kani
earth: kani
earth: kani(gëla)
earth: koni
earth: qani
earth: qaniqani
eat: ama
eat: aman
eat: ane
eat: ane
eat: anë-
eat: anə-
eat: anə-
eat: anei(-ko)
eat: anei(-ko)
eat: anë-i(-ko)
eat: anëi-ko
eat: anəi-ko
eat: anəi-ko
eat: hunëi-sunëi
eat: (r)aman
egg: do
egg: do
egg: do
egg: do
egg: do ~ ro
egg: do ~ ro
egg: eirʌ (eutʌ)
egg: eirʌ (eutʌ)
egg: ojoro
egg: to
egg: to
elbow: me-hele
elbow: më-hëlëm
elbow: meserre
elbow: më-tërëng
elbow: me-xu
excrement: ëhë
excrement: ëtë
excrement: exe
excrement: kendo
excrement: qänto
eye: ijoko
eye: ijoko
eye: ijoko
eye: ijoxo
eye: iɟoko
eye: iyoko
