bird: agḍiḍ
bitter: ərzag
blood: idammən
boy: tiniːn
breast: iːfəf
brother: gma
cloud: tagnut
day: asf
day: ass
die: əmmət
dig: əmdəl
earth: akal
ear: timəžžit
face: udəm
finger: gməz
fire: takæːt
flower: ižžig
fly (v.): afru
foot: aḍar
girl: tiyyin
give: əfk
heart: ul
hit: uːt
horn: isk
how: manika
I: nikki
laugh: ḍeṣṣa
left: aẓəlmaḍ
leg: aḍar
liver: tasa
long: gziːf
louse: aggurdi
louse: tilkit
man: autəm
meat: tifiyi
moon: ayyur
mother: maː˗
mouth: imi
night: iːḍ
one: yen
rain: anzar
salt: tisənt
sand: amlaːl
sand: egede
say: iːni
shoulder: takərut
skin: iʻləm
sky: iganna
son: yu
spit: alədda
spit: tusu
star: itri
stone: awwuːn
tail: timigilt
three: kraḍ
thunder: iggig
tongue: ils
tooth: ags
tooth: ugs
turn: ḍuːr
two: sin (male) , snet (female)
vagina: ibššitən
vagina: ibššitən
walk: əddu
walk: kir
wash: s˗iːrəd
weep: alla
we: nkni
who: ma
