all: kudduk
animal: orai
arm: and˗
ashes: uskuč
back: oŋ
bad: taːs
bark: kuɓundwič
belly: ɓileːk
big: ŋonde
bird: awad
bite: kas
black: ǯ\ul
blood: taːmič
blow: uːsu
bone: ŋač
boy: tabbaruk
breast: kidi
breast: kidiǯu
breathe: uːŋu
burn: duɲ
child: tabbaruk
claw: ɲix˗tə˗andwan
cloud: timgaːru
cold: tuddi
come: boǃ
correct: tireniŋ
count: aŋgana
cut: kalu
cut: ŋasa
day: səŋge
die: ˗əxsə
dig: ɓoːs
dirty: ɲəbələk
dog: iːs
drink: awuxi
dry: kamaːsə
dust: ndukurudi
earth: zək
eat: asie
egg: gildič
eye: aun
fall: ˗delaŋ
far: təzaˑŋ
father: appa
fat (n.): mwida
fear: ɲega
feather: abax
few: ɓila\ax
fight: abogo
fingernail: ɲix˗tə˗andwan
finger: pəxə˗and˗
fire: maːs
fish: axsič
five: mədak
float: ɓaːya
flower: dudulus
flow: koi
fly (n.): aŋaɣasič
fly (v.): saɲ
foot: exe˗
four: tespet
full: kabəs
give: togiǃ
good: opoyo
grass: ɲaxič
guts: kiǯalbugiɲ
hair: abaxtič
hand: and˗
head: zu
hear: ndəŋ
heart: px˗ombəgaxsəge
heavy: tətəx
he/she: če
he/she: če
he/she: ma
he/she: ma
hit: ɗadda
hole: axeɗok
horn: yaxtič
hunt: tillak
I: ag
kill: paxa
knee: sond˗
know: ayəx
lake: luːku
laugh: aguːgu
leaf: wun˗g˗ett
left: ɲogol
leg: exe˗
liver: ɲimeč
long: lo\oi
louse: tiŋgəxsič
man: abaŋ
many: maŋge
meat: yyə
moon: emsex
mother: ɓo
mountain: čabr
mountain: čabr
mountain: ŋač
mountain: ŋač
mouth: ik
name: agge
narrow: kəɗeǯewa
near: kəssač
neck: ŋas
night: oŋut
old: boxoːx
one: nuxu
person: kiːk
play: coxa
pull: ɲasa
push: azaǯ\e
rain: koxa
rat: ɲiŋəs
rat: ɲiŋəs
red: pr peː
right: abaːnič
river: čoloŋgo
road: ˗sok
root: məx
rope: zitt
rotten: ŋoso
round: turu\us
rub: maːsa
salt: aŋguleke
sand: dilwič
say: aŋade
say: ləbe
scratch: goxiŋ
seed: zəbsi
see: lala
see: ox
sew: axaː
sharp: wiei
short: tələŋ
sing: alaŋača
sit: ičča
skin: mmi
sky: koxa
sleep: səŋda
small: bye\ei
smoke: ləkk
smooth: sirəzəri
snake: dol
spit: oluk
split: lare
squeeze: səkissa
stand: ŋasa
star: niɲwesič
stone: čabr
stone: ŋač
suck: ban
sun: xoŋ
sweet: tumox
swell: kaː˗ɓəŋ
swim: ɓaːya
tail: iːb
take: ɓaga
they: sa
thick: tiǯax
thou: aŋgo
thou: gi(niŋ)
three: kodos
throw: gawi
tie: axse
tongue: ɲibur
tooth: ɲixt˗
tree: ett
turn: urtege
two: pədax
vomit: aǯalage
walk: koi
walk: wede
warm: təbei
wash: ɗaːya
water: ma
we (excl.): ̱was
we (excl.): ̱was
we (incl.): kok
we (incl.): kok
wet: tuddi
what: wiaŋ
when: oʻgei
where: tiː
white: bou
who: xənaŋ
wind: megedde
wing: kuɓuktuč
wipe: awaɲis
woman: uːx
wood: gax
worm: ox
worm: oːxič
year: oso
yellow: bu\bbəx
