all: bɛːn
ashes: bur
bark: paːtʰ
belly: (j)ič
big: dwɔŋ
bird: wɛnjo
bite: kaːǯ
black: loːǯ
blood: rɛmɔʔ
bone: čoʷ
breast: θɪṇ
burn: raːbo
claw: lwɛːdo
cloud: pʰolo
cold: kʰoǯo
come: bi
die: θaːo
dog: gʷʊkʰ
drink: matθ
dry: θuːwaː
ear: yitθ
eat: čʲɛm
egg: tɔnɔ
eye: wɛŋ
father: wiya
fat (n.): maʷ
fire: mač
fish: reːǯó
fly (n.): lʷaŋɔʔ
foot: tiʲalɔ
give: muːǯ
good: dɔʲ̌
grass: luːm
hair: yeːy
hand: čɪŋɔ
head: wɪč
heart: kɛːɲ
hear: wɪɲiː
horn: tʊŋ
I: yan
kill: naːg
knee: čʊŋ
know: ŋɛːč
leaf: yɪtθ
liver: utʲwiɲ
long: bɛ̰r
louse: ɲuːwɔgɔ
man: ðaːno
many: θoːɔ
meat: rrɪŋɔʔ
moon: dʷaːy
mountain: kitʰ
mouth: ðɔːkʰ
name: nyɪŋ
neck: mʊno
new: nyan
night: wɛr
one: akʲel
other: mɛːko
rain: kʰɔtθ
red: kʷaːr
road: ǯoː
root: bier
sand: kʷɔːǯo
say: koːp
seed: kʰɔdði
see: leːtθ
sit: pɛkipɪɲ
skin: dɛl
sleep: niːn
small: θin
smoke: yiːro
snake: tθwɛl
stand: čuŋʔi
star: kʲeːlo
stone: kitʰ
sun: čɛŋ
swim: kʷaːŋi
tail: yɪːpʰ
thin: gwɛːlo
this: ǯaal
thou: wun
thou: yɪn
three: wan
tongue: lɛːpʰ
tooth: leːǯo
tree: yaːtθ
two: ario
walk: kɛtθ
warm: mɔr
water: pʰi
wet: θɪčʰ
we: wan
what: gɪn
white: tarr
who: (a˗)mɛn
woman: daːčo
