all: ʧat
bark: liːhe
belly: kirʃ
big: kabiːr
bird: tˁeːˈra
bite: -ʔadˁdˁi
black: aχadˁar
blood: damm
bone: adˁum
breast: deːd
burn: -tiʃʃ
cloud: dˁahawiːje
cold: bardaːn
come: -ʤi
die: -muːt
dog: kalb
drink: -ʃrab
dry: jaːbis
ear: dˁaːn
earth: ardˁ
eat: -yaːkul
egg: beːˈdˁe
eye: eːn
fat (n.): ʃaham
feather: suːˈfa
fingernail: χunfur
fire: naːr
fish: samaˈka
fly (v.): -tˁuːr
foot: riʤil
full: malaːn
give: -tˁʔan
good: seme
green: aχadˁar
hair: guʤʤa
hair: ʃiʔir
hand: iːd
head: raːs
hear: -sma
heart: galib
horn: garn
I: ana
kill: -ktul
knee: rukuˈba
know: -dri
know: -eːlam
know: -ʔeraf
know: -xabar
leaf: waraˈga
lie: -rgud
liver: kibde
long: tˁawiːl
man: raːʤil
many: katiːr
meat: laham
moon: gamar
mountain: haʤar
mouth: gadduːm
name: isim
neck: ragaba
new: ʤadiːd
night: leːˈle
nose: munχur
not: ma
one: waːhid
person: naːdim
rain: matˁara
red: eːmar
root: irg
round: daːjir
sand: ramal
say: -guːl
seed: teːrab
see: -ʃiːf
sit: -gud
skin: ʤilde
sleep: -nuːm
small: saqiːr
smoke: duχaːn
stand: -nʔadil
star: naʤiˈma
stone: hiʤeːr
sun: ʃam
swim: -ʔuːm
tail: danab
that: dˁaːka
this: daː
thou: inta
tongue: lisaːn
tooth: sinn
tree: ʃadaˈra
two: tineːn
walk: -mʃi
warm: saːχin
water: alme
we: aniːna
what: ʃinu
white: abjadˁ
who: jaːtu
woman: mara
yellow: asˁfar
