arm: kel
ashes: karufuŋ
bark: git
bone: kutul
breast: nom
brother: noru
burn: dʌ
dog: sap
ear: du
eat: na
fingernail: ful
fire: kadip
foot: kɔyɔŋ
full: toko
hair: mimbitem
head: nɛmbɨ
he/she: adi
I: nʌk
knee: mɨndan
leaf: tʌmer
leg: kɔyɔŋ
long: yopmaran
louse: sɔgumeŋ
moon: muyap
mother: meŋ
mouth: mɛ
name: yip
neck: bʌbor
new: koda
rain: gi\i
road: kʌdet
sand: kɨnkɨn namuk
say: ta
sister: nanaebe
skin: git
sleep: fɨ
smoke: kadigi
spit: deʌp
star: dʌbugum
straight: didimɛn
sun: go
thou: gʌk
thou: si
tie: torofa
tongue: membem
tooth: me
tree: kadip
warm: kadip-mut
water: mil
we: ni
wind: gufut
wing: fur
