all: haha
and: mole
ashes: aβu
back: leʔar
bad: goʔis
bark: ʔai ʔuli-t
because: loni-ŋ
belly: taʔi-ŋ
bird: horo-ŋ
bite: ʔiʔi
black: mita-ŋ
blood: mei
blow: plupi
bone: luri-ŋ
breast: uhu-ŋ
breathe: aiŋ
burn: holo
child: me
cloud: kru
cold: blata-ŋ
come: ŋotɗo
correct: akə-t
count: [rekə-ŋ]
cut: poro
die: mate
dig: goʔi
dirty: miʔak
dog: ahu
drink: ʔ-inu
dry: duʔur
dull: bou-ŋ
dust: ʔrəβu
earth: tana
ear: tilu
egg: təlo
egg: təlo
empty: nəlar
eye: mata
fall: vili
far: blaβir
father: ama
fat (n.): βura
fear: blau
few: kəsik ha
fingernail: sisilon
fire: api
fish: iʔa-ŋ
five: lima
float: baβak
flow: ba
flower: puhu-ŋ
fly (v.): horo
fog: koβa
foot: βaʔi
forest: tuʔa-n
four: hutu
frog: blaʔur
fruit: βua-ŋ
full: bənu
give: βəli
good: ʔəpa-ŋ
grass: βaʔa-ŋ
green: daʔa-ŋ
guts: taʔi-ŋ
guts: taʔi-ŋ
hair: ala
hand: lima-ŋ
head: ala-ŋ
hear: rəna
heart: puhu-ŋ βua-ŋ
heavy: [bərat]
he: nimu
hit: tola
horn: tara-ŋ
how: ganupae
hunt: raka-ŋ
husband: ata laʔi
I: aʔu
if: raʔik
in: unə
kill: dola mate
knee: tur
know: raʔinta-ŋ
lake: rano
large: gəte
laugh: to
leaf: ʔrou
left: βiri
leg: βaʔi
lie: vala
live: morə-t
liver: ʔβate
long: bloŋ
louse: ʔutu
man: ata laʔi
many: gaβa-ŋ
meat: isi-ŋ
moon: βula-n
mother: ina
mountain: ili-n
mouth: məmu
name: nara-ŋ
narrow: ipot
near: groʔo
neck: ʔəru-ŋ
new: βэru
night: ʔβau-ŋ
nose: iru-ŋ
old: blupur
one: ha
person: ata-biʔa-n
play: ʔləbe
pull: gide
push: rusik
rain: ura-n
red: mera-ŋ
right: βana
river: naŋa ba
road: lala-ŋ
root: ʔramut
rope: tali
rotten: βau-ŋ
round: guər
rub: bloso
salt: hini
sand: ne
say: βəta
sea: tahi
sea: tahi
seed: βini
sew: raʔit
sharp: dira-ŋ
short: buluk
sing: [kantar]
sit: təri
skin: ʔuli-t
sky: βula ßutu
sleep: tuʔə
small: kəsik
smell: sino-ŋ
smoke: nuhi-n
smooth: ʔalus
snake: [ular]
some: pira ko pira
spit: ilur
split: kəlak
stab: rohuk
stand: gəra
star: dala
stick: ti?o
suck: hiruk
sun: Iəro
tail: iʔur
they: rimu
thick: ʔapar
thin: blelər
think: huk
thou: ʔau
thou: miu
three: təlu
throw: roga
tie: pəte
tongue: ma
tree: ʔai
turn: βalər
two: rua
vomit: muta
warm: gahu
wet: gəma
what: [apa]
when: nora pae
which: ha pae
white: bura
who: hai
why: loni-ŋ apa
wide: kləβa-ŋ
wife: ata duʔa βai
wind: ani-n
wing: kəpik
woman: ata βai
worm: taʔi-hati
wrong: hala
year: ʔliβa-ŋ
yellow: herə-t
