arm: kʌilba
ashes: kʌip
bark: kep
bark: tur
bone: sipʌgʌi
breast: mom
brother: dat
burn: i
dog: sap
ear: ɔdɔm
eat: na
eye: dapul
fingernail: kʌil siwʌl
fire: kʌip
foot: gatʌni
full: sok
hair: dakam
head: kubir
he/she: e
I: nʌk
knee: welgʌni
leaf: tɔmɔg
left: kwani
leg: gatʌni
long: summi
louse: imʌn
moon: yamin
mother: mil
mouth: gi
name: gin
neck: boŋa
new: kweɣʌi
rain: nebil
road: kʌɛp
sand: morʌk
say: yʌ
sister: yʌwin
skin: kep
skin: tur
sleep: pe
smoke: womʌk
spit: oidzʌpmiʌk
star: guk
straight: dokoŋ
sun: gulam
thou: gʌk
thou: si
tie: sop
tongue: mʌlbin
warm: kowiri
water: miʌk
we: ni
wind: gupit
wing: pir
