arm: no
arrow: pin
ashes: tə
belly: hʉ
big: be-papali
big: ma͂ki
bird: ta͂a͂ ~ ta͂ŋa͂
bird: tʌn
bitter: jake
black: nɛmbi
blood: hɪ
blood: hi
bone: eː
breast: nɒ
breast: nɔ
breathe: pu
butterfly: tang-bero
cold: lelaŋə́
crocodile: mənə
crocodile: meneh
daughter: peimenye kebalikeke
dig: mekuku
dog: nake
dog: nakɛ́
drink: memu
ear: lə
ear: leou
earth: fito
earth: fítɔ
eat: ka͂ ~ ta͂ ~ pa͂
eat: mpuvatupa
eat: yama
egg: ku
egg: ta͂ ko~
emu: ta͂rʉ~
eye: luto
eye: lutɔ~
fall: mepupu
far: haba͂
father: ai
father: re
fingernail: noːbe
fire: ra
fire: rax
fish: mɛ
fish: məə́
five: na:pa
fly (n.): lu͂
foot: ntae
foot: ta͂Úɛ
four: nongpong
four: nopo
four: nopo
fruit: ri tɔ~
full: hüla(ng)
grass: tah
guts: huna
hair: ta
hand: nɒ
hand: no-bɛro
head: rebe
head: rə́be
hear: lə ~ ru ~ rə
hear: mepupu
here: uwna
he/she: ke
he/she: kə-
he/she: pe
he/she: pə-
house: pa
house: pá
house: pai
husband: kebale
husband: tebale
I: ni
I: ni-
in: ilo
kill: mebʌ
knee: lámbi
leaf: riha
leaf: ri ha~
leg: ta͂Úɛ
lightning: hehe
live: tumpah
long: ekapé
louse: fi
louse: fi
man: ba
man: kébane~
man: keba ~ teba
man: teba-lɛn
meat: na
meat: nah
meat: naːh
meat: nebah nowna
moon: ke
moon: kɛh
morning: peta-hapa
mosquito: le
mother: ma
mountain: pɒ
mountain: pe
mouth: láŋəw
mouth: laŋuw
name: (teba-)ti
near: lalapalɛlɛ
new: kobafang
new: na~tɔ
night: rampal
old: tebahuhu
one: ali~
one: ʌli
person: teba
rain: fuh
rain: ifo
rat: fule
rat: fulu
rat: fulu
rat: fulu
rat: pwaha
red: əle
ripe: yefa
river: pa
river: pʌnero
root: rika͂le͂Ú
rope: a:
rope: pə
rope: pö
sand: ható
say: pi leile
say: pi leile
see: fo
see: fu͂
see: mefumeme
sit: məlekɔ͂
skin: nə rɔ~
skin: rɒ
sleep: lu-wele
small: hápɔ
smoke: rapo͂
snake: i
snake: i
sour: jaku
spit: ifafempe
spit: ifafo
star: há
stone: wu͂
sun: ra͂a͂Ú
sun: rʌh
sweet: langpi
they: te
they: tə-
thou: e
thou: ə-
thou: me
thou: me-
three: hento
throw: mepopo
thunder: peta-pulye
thunder: pita
tongue: puw
tooth: kə́
tooth: keʔen
tree: ri
tree: rɪx
two: hintuŋ
two: hi͂Útɔ
warm: eti
water: pa
we: ne
we: ne-
white: tóto
wind: fɒ
wing: tʌn-fʌ
woman: pemɛ~
woman: teʊme
wood: panɛte ~ paɛ͂te
wood: rɪx
yellow: ta͂le
