all: muru
animal: hau
arm: ana
arrow: ér
ashes: uligi
bark: (er) gang
belly: yo͂
big: bir
bird: hahoba
black: hama
boy: kumil
boy: yagali͂
brother: eni͂
burn: de
burn: gale
child: gir
child: gir-migi
claw: dira͂
come: wi ~ u
cut: sule
dark: hama
die: gol
dig: wurere
dog: awi
earth: ganba
earth: man
eat: no
emu: hauhoi
far: ulibi
father: ira͂
feather: eme
feather: hale
few: obil
fight: bol
fire: endo
five: ana holulu
forehead: maulu
forest: dimingul
full: di
girl: ama
give: te
good: wai
grass: kul
green: mori
guts: yo ~ yo͂
hand: ana
hand: ana
head: bina
hear: pir
hear: pire
he/she: al i
he/she: yal i
hit: si
hold: a
hole: maul
house: oː
I: na
kangaroo: nugu
leaf: aulu͂
leg: debe͂
leg: kebena
leg: keberi͂
man: yal
man: yal
many: miki
moon: haba
morning: sinamo
mother: aː͂
mouth: gra-
neck: nugu͂
nose: ho͂
old: aldimani
old: dimani
one: tani
person: yuri
pull: aule
push: gire
push: pisi
rain: nimin
red: nol
right: holulu
river: nirai
river: nulu
road: hol
rope: han
salt: bemia
salt: pil
say: du
short: obilga
shoulder: kuana
skin: gang
sky: hamen
sleep: ul
small: migi
squeeze: dirana
stone: hulu
sun: árí
tail: eu͂
take: ya
they: al i
they: yal i
think: pir
this: i
thou: ni
thou: ni
three: sui tai dire
throw: pisi
tie: hol
today: kenba
tomorrow: ongi
tree: e~r
turn: hanya
two: sutani
walk: pai
walk: pi ~ o
walk: wa
wash: bil
water: nir
water: ole͂
weep: hai
we: na
what: kinal
what: tal
where: makena
white: pege
who: ara
wife: eu
woman: airi͂
woman: al
woman: al
wood: bili
wood: er
wood: kuba
worm: degireme
yellow: homilgi
