arm: karaŋa
ashes: kokot
bark: karʌp
bone: kwarandzi
breast: wʌm
brother: dat
burn: si
dog: kʌŋwen
ear: dzukun
eat: na
fingernail: pitpit
fire: karʌp
foot: kaiwʌ
full: kwak
hair: eroŋ
head: magʌ
he/she: eʌk
I: na
knee: muruk
leaf: tʌm
leg: kaiwʌ
long: sumŋi
louse: tʌmʌn
moon: karoŋamɛn
mouth: gok
name: man
neck: tek
new: kwarak
rain: kamok
road: kewʌ
sand: kasirɔk
say: ya
sister: yʌwa
skin: karʌp
sleep: pa
smoke: neʌk-neʌk
spit: kayʌk kayʌk
star: gok
straight: tʌrʌrʌ
sun: murum
thou: dzi
thou: ga
tie: pʌro
tongue: membi
tooth: gʌɛn
warm: koŋkoŋi
water: miʌk
we: ni
wind: sorup
wing: pit-
