all: ʔuma
and: ma
animal: manu
ashes: lefulefu
back: papā-tua
bad: leaŋa
bark: paʔu
because: ʔauā
belly: manava
bird: manu-lele
bite: ū
black: uliuli
blood: toto
blow: aŋi
bone: ivi
breast: susu
breathe: mānava
burn: faʔa-mū
child: tama
cloud: ao
cold: mālūlū
come: sau
correct: saʔo
count: fai-tau
cut: tipi
die: oti
dig: ʔeli
dirty: ʔeleʔele-a
dog: maile
drink: inu
dry: maŋo
dull: matatupa
dust: pefu
ear: taliŋa
earth: lau-ʔeleʔele
empty: ātiŋi
eye: mata
fall: lāpo
far: mamao
father: tama
fat (n.): ŋaʔo
fear: fefe
few: itiiti
fingernail: maiʔuʔu
fire: afi
fish: iʔa
five: lima
float: opeopia
flower: fuŋa
flow: tafe
fly (v.): lele
fog: puao
foot: vae
forest: vao
four: fā
frog: [lane]
fruit: fua
full: tumu
give: ʔave
good: lelei
grass: mutia
green: lanu-mea-mata
guts: ŋāʔau
guts: ŋāʔau
hair: lau-ulu
hand: lima
head: ulu
hear: faʔaloŋo
heart: fatu
heavy: mamafa
he: ia
hit: sasa
horn: nifo
how: faʔapēfea
hunt: tuli
husband: tāne
I: aʔu
ice: [ʔaisa]
if: peʔā
in: i totonu o
kill: fasi-otì
knee: tuli-vae
know: iloa
lake: loto
large: tele
laugh: ʔata
leaf: lau
left: tau-aŋavale
leg: vae
lie: ta?oto
live: ola
liver: ate
long: ʔumi
louse: ʔutu
man: tāne
many: tele
meat: ʔaʔano
moon: māsina
mother: tinā
mountain: mauŋa
mouth: ŋutu
name: iŋoa
narrow: lau-itiiti
near: latalata
neck: ua
new: fou
night: pō
nose: isu
old: matua
one: tasi
person: taŋata
play: taʔalo
pull: toso
push: tulei
rain: ua
red: mūmū
right: tau-matau
river: vai-tafe
road: ʔau-ala
root: aʔa
rope: maea
rotten: mafu
round: lā-potopoto
rub: mili
salt: māsima
sand: oneone
say: fai
sea: sami
sea: sami
seed: fatu
sew: suai
sharp: maʔai
short: puʔupuʔu
sing: pese
sit: nofo
skin: paʔu
sky: laŋi
sleep: moe
small: Iaʔitiiti
smell: laŋona
smoke: asu
smooth: mole
snake: ŋata
snow: [kiona]
some: nisi
spit: anu
split: isi
stab: tui
stand: tū
star: fetū
stick: toʔotoʔo
straight: saʔo
suck: susu
sun: la
tail: siʔusiʔu
they: lātou
thick: mafia
think: māfaufau
thin: manifi
thou: ʔoe
thou: ʔoutou
three: tolu
throw: toŋi
tie: noa
tongue: laulaufaiva
tooth: nifo
tree: lāʔau
turn: fuli
two: lua
vomit: puaʔi
warm: vevela
wet: susū
what: ā
when: āfea
which: lēfea
white: paʔepaʔe
who: ai
why: ʔai-se-ā
wide: lau-tele
wife: āvā
wind: mataŋi
wing: ʔapa-ʔau
woman: fafine
worm: ʔanufe
wrong: sesē
year: tausaŋa
yellow: samasama
