all: ɓeiʔ
animal: raʷ
ashes: yɛt
bark: ʔoʷ
belly: loq
bird: sɛl
bite: kʌɗɔʷ
black: sužus
blood: ɲif
blow: kəfʊris
bone: ʎɔh
breast: ɓiuʔ
burn: kətəki
child: ɔmah
cloud: ɲaižol
cold: fežɔs
come: kəhaʲ
count: kəkin
die: kʌkan
dig: kəʔum
dog: baʲ
drink: kaʔan
dry: suʔ
dust: pʌndəl
ear: nɔf
earth: kakei
eat: kaɲam
egg: wak
eye: kʷs
fall: kakʲ
father: cçacça
fat (n.): fəžum
fear: kənek
feather: mul
fingernail: cçogəna
fire: kiː
fish: kandabʷul
five: žətʰus
fly (v.): kəpʷun
foot: qot
four: nikis
full: lif
give: kəʔeʲ
good: ɟʝof
guts: lil
hair: fɛn
hand: žax
head: haf
hear: kakɛlɔh
heart: kuluŋɲon
hit: kəfɛk
horn: yit
house: kan
husband: haʲbɛteʲ
kill: kaʔap
knee: ʝi
know: kəʔunoh
laugh: kɔyɛn
leaf: pʊʔ
lie: kafanʊk
liver: kɛn
long: ho
long: hɔ
louse: ɗɛɲ
man: ɓɔʔ
many: žeyɛn
moon: ɲɪn
mountain: tʌŋgəl
mouth: ku
name: tek
navel: gužun
neck: bɔl
new: ʔas
night: yɛkʰ
one: žinɔ͂
person: yal
play: kəʔɛɲɟʝox
pull: kanoq
push: kažeʲ
rain: toʷ
red: žɔx
river: lɔs
road: waz
root: nil
rope: niʔ
round: kurkundul
salt: mera
sand: kolɛɲ
say: kawoʔ
scratch: kəoc
seed: teɔx
see: kəhot
short: ləhoʲ
sing: kayɛk
sit: kažʊ͂ŋ
skin: ʔon
sky: ɗɔqɔh
sleep: kanɛx
small: ɟʝutut
smoke: iwɔl
snake: goŋ
spit: kəbof
split: kaɗa
squeeze: kapoʲ
stand: kəkoloq
star: ʔɔl
stone: atox
suck: kaɓab
sun: nɔh
swell: kəʔuʲ
swim: kəbuluk
tail: kože
take: kəloq
three: kaːi
throw: kayɛs
tongue: pɛfɛm
tooth: siːs
tree: kɛdɛk
two: kanak
vomit: kaɓoət
walk: kətin
warm: tamoh
wash: kəbɔkuk
wash: kətis
water: mʷžuʔ
what: žah
white: danao
who: ɓah
wife: haʲʎal
wind: ʊris
wing: paʷ
woman: ɓɛteʲ
wood: sɔkɔɲ
year: məžu
