all: kerek
and: otmu
and: otmu
animal: sogo
arm: bɔt
ashes: kâu
ashes: kɔu
ashes: kɑu
back: kâdât-
back: kɑdɑt-
bark: hɔk
belly: tep-
belly: tep-
big: pato
big: pato
bird: nâi
bird: nɑi
bite: ihi-
bite: ihi-
black: heleng
black: heleŋ
blood: hep-
blood: hep-
blow: hângu-
blow: hɑŋgu-
bone: hahit-
bone: hahit-
bone: haɣit
bone: tɔn
breast: nam-
breast: nam-
breathe: heak
breathe: heak
brother: ata
brother: ata-
brother: ata-
burn: si-
burn: si-
claw: pekat-
claw: pekat-
cloud: elem
cloud: elem
cold: bâlâpnge
cold: bɑlɑpŋe
come: ga-
come: ga-
count: sâliku-
count: sɑliku-
cut: hâre-
cut: hɑre-
die: mu-
die: mu-
dig: ai-
dig: ai-
dog: soso
dog: soso
dry: hârâng-
dry: hɑrɑŋ-
dust: wahap
dust: wahap
ear: âdâp-
ear: ɑdɑp-
ear: ɔndɔp
earth: hân
earth: hɑn
earth: hɔn
eat: ne
eat: ni-
eat: ni-
emu: gasam
eye: sen-
eye: sen-
fall: kiong-
fall: kioŋ-
father: awɑ-
father: awâ-
fat (n.): kelu-
fat (n.): kelu-
fingernail: pekat
fire: kɔlɔp
flower: suri-
flower: suri-
foot: kâi-
foot: kɑi-
foot: kɔi
fruit: bon-
fruit: bon-
full: pik-
full: pik-
give: nihi-
give: nihi-
good: âlipnge
good: ɑlipŋe
green: golɑ
green: golâ
green: golɔ
hair: somot-
hair: somot-
hand: bât-
hand: bɑt-
head: kun-
head: kun-
heart: kabiam-
heart: kabiam-
he/she: yâk
he/she: yɑk
he/she: yɔk
he/she: yɔkɔt
hit: ku-
hit: ku-
hold: mi-
hold: mi-
hole: lɔm
house: emet
how: gira
how: gira
I: nɑ
I: nâ
I: nɔ
I: nɔhɔt
kill: kpa-
knee: pawut-
knee: pawut-
know: naga-
know: naga-
lake: degân
lake: degɑn
laugh: giring-
laugh: giriŋ-
leaf: esen-
leaf: esen-
left: kane
left: kane
leg: kɔi
long: kâlip
long: kɔlip
louse: imen
louse: imen
man: lok
man: lok
many: biwirɑ
many: biwirâ
many: sesegɔt
meat: sunum-
meat: sunum-
moon: emesen.nge
moon: emesenŋe
mother: mâmâ-
mother: mɑmɑ-
mother: momo
mountain: gibânge
mountain: gibɑŋe
mouth: lau
name: kut-
name: kut-
neck: obe-
neck: obe-
neck: ombr
new: âinge
new: ɑiŋe
new: irak
night: omong
night: omoŋ
nose: hâme-
not: ki
not: ki
old: sobo
old: sobo
one: konok
one: konok
play: heng
play: heŋ
pull: dâi-
pull: dɑi-
push: hâpun-
push: hɑpun-
rain: gelâk
rain: gelɑk
rain: gelok
red: kuring
red: kuriŋ
right: bon
right: bon
road: giop
road: giop
root: gihit-
root: gihit-
rope: ip
rope: ip
rotten: yap
round: gawâng gawâng
round: gɑwɑŋ gɑwɑŋ
sand: sak
sand: sak
say: sɔ
say: y-
say: y-
say: yo
seed: kehet-
seed: kehet-
see: nek-
see: nek-
sew: gɑre-
short: tâlâwâk
short: tɑlɑwɑk
sister: tou
sister: tou-
sister: tou-
sit: ta-
sit: ta-
skin: hâk-
skin: hɑk-
skin: hɔk
sky: hibim
sky: hibim
sleep: i-
sleep: i-
small: tipinge
small: tipiŋe
smoke: utun
smoke: utun
snake: habe
snake: habe
some: nobot-
spit: tâp-
spit: top
stand: kin-
stand: kin-
star: petu
star: petu
star: pitu
stick: kapam
stone: kât
stone: kɑt
straight: tɔŋtɔŋ
suck: musuku-
suck: musuku-
sun: dewutɑ
sun: dewutâ
sun: dewutɔ
swell: suk-
swell: suk-
tail: hape-
tail: hape-
that: eda
that: edu
that: ya
that: ya
there: eda
there: eda
there: ya-ɔn
they two: yɔkyet
they two: (yɔk)yetkɔt
they: yâk
they: yɑk
they: (yɔk)yegɔt
they: yɔkyen
this: yu
this: yu
thou: gɑ
thou: gâ
thou: gɔ
thou: gɔhɔt
thou: ye
thou: yegɔt
thou: yen
throw: pila-
throw: pila-
tie: heku
tie: sɔɣɔ
tie: teku
tomorrow: hɔdɔhen
tongue: nibilam-
tongue: nibilam-
tongue: nimbilam
tooth: sât-
tooth: sot
tooth: sɑt-
tree: nak
tree: nak
turn: purik-
turn: purik-
two: yâhâp
two: yɑhɑp
vomit: mohat-
walk: ari
warm: kâlâp
warm: kɔlɔpkɔlɔp
warm: kɑrɑp
warm: uruk uruk
warm: uruk uruk
wash: puri-
wash: puri-
water: to
water: to
weep: isi-
weep: isi-
we: ne
we: nen
we: neŋɔt
we: non
we two (incl.): net
we two (incl.): netkɔt
what: wuân
what: wuɑn
where: wonân
where: wonɑn
where: won-ɔn
white: kaok
white: kaok
who: âlâ
who: ɑlɑ
wind: berom
wind: berom
wind: bɔlɔp
wing: pegam-
wing: pegam-
wing: peŋgam
woman: ibi
woman: ibi
wood: kapam
worm: wik
yellow: gibang
yellow: gibaŋ
yesterday: mukan
you two: yet
you two: yetkɔt
you: yen
