all: kudub
ashes: k\umab
bark: k\urraŋ
belly: kǝmp\uŋ
big: suda:
bird: ontid
bite: ram
black: j\aga:
blood: m\iйam
bone: ǝ=ӡ\a:ŋ
breast: mem\e:
burn: bal
claw: kar
cloud: t\arub
cold: r\aŋa:
come: ir-a:i
die: kaj\ed
dog: kins\o:d
drink: ga-
dry: as\ar
ear: lʔu:d
earth: lǝb\o:
eat: ӡum
egg: ar-re
eye: mʔo:d
fat (n.): k\ari
feather: bal\e:d
fire: tʔ\oge:
fish: ǝ-jo:
fly (v.): e:ŋ
foot: ӡʔe:ŋ
full: bariӡ
give: tij
good: b\aŋsa:
green: gǝn
hair: k\uru
hand: sʔi:
head: bʔo:b
hear: amd\aŋ
heart: p\ura:dan
horn: d\ere:ŋ
I: йen
kill: k\ab-jed
knee: m\andid
know: g\alam
leaf: o:la:
lie: lud
liver: g\are
long: ӡal\e:
louse: iʔi
man: m\an(d)ra:
many: boi-boi
meat: ӡ\elu
moon: aйg\aӡ
mountain: baru:
mouth: tʔo:d
name: ǝй\om
neck: s\aŋka:
new: tamme
night: t\o-gal
nose: mʔu:
not: iӡӡa
one: ǝb\oi
person: m\andra:
rain: gǝn\ur
red: ӡʔe
road: taŋ\or
root: bal\eŋ
round: jar=j\ar
sand: lakiӡ
say: ga:m
seed: ab\aj
see: giӡ
sit: gob
skin: us\a:l
sleep: dib-m\ad-da
small: anritid
smoke: um\ud
stand: t\anaŋ-
star: tui-t\uӡ
stone: are:ŋ
sun: ujuŋ
swim: e:ŋ-da:
tail: ǝl\a:
that: ku=n
this: ka=n
thou: amǝn
tongue: l\a:ŋ
tooth: ӡʔi
tree: ar\a
two: b\a:gu
walk: йa:
warm: paй\um
water: dʔa:
we: ǝl-len
what: it\e:n
white: pal\u:
who: b\o:te
woman: ǝnsǝl\o:
yellow: saŋ=sa:ŋ
