all: kahemon
and: maka
animal: [sattuwa]
ashes: abu
back: bukut
bad: laʔat
bark: kuwit kayu
because: [sabab]
belly: bottoŋ
bird: manuk-manuk
bite: keket
black: etom
blood: lahaʔ
blow: tiyup
bone: bokog
breast: duduʔ
breathe: napas
burn: tutuŋ
child: dakanak
cloud: gabun
cold: haggut
come: pa-itu
correct: tawwaʔ
count: ituŋ
cut: kehet
die: patay
dig: kalut
dirty: limmiʔ
dog: edoʔ
drink: inum
dry: tohoʔ
dull: tompol
dust: bagumbun
ear: taiŋa
earth: tanaʔ
egg: entollo
egg: entollo
empty: insaʔ niyaʔ isi na
eye: mata
fall: labuʔ
far: lantaʔ
father: mmaʔ
fat (n.): [mantika]
fear: taw
few: dikiʔ
fingernail: kukku
fire: api
fish: daiŋ
five: lima
float: lantup
flower: sumpiŋ
flow: tubud
fly (v.): leyaŋ
foot: tapeʔ
forest: gulaŋan
four: mpat
frog: ambak
fruit: buwaʔ kayu
full: ponnoʔ
give: buwan
good: hāp
grass: padaŋ
green: gadduŋ
guts: tinaʔi
guts: tinaʔi
hair: buʔun
hand: taŋan
head: kōk
hear: kale
heart: ɟantuŋ
heavy: buhat
he: iya
hit: pokpok
horn: tanduk
how: saiŋgahan
hunt: panhot
husband: halla
I: aku
ice: [ais]
if: baŋ
in: deyom
kill: patay
knee: uʔut
know: taʔu
lake: lanaw
large: mehe
laugh: tettowa
leaf: dahun
left: bibaŋ
leg: bittis
lie: bahāk
live: allum
liver: atay
long: tahaʔ
louse: kutu
man: lella
many: hekaʔ
meat: isi
moon: bulan
mother: inaʔ
mountain: bullud
mouth: bowaʔ
name: on
narrow: kiput
near: seŋgod
neck: kolloŋ
new: bahaʔu
night: saŋom
nose: ūŋ
old: toʔa + a-
one: isa
person: aʔa
play: kulikuli
pull: hellaʔ
push: lintuwad
rain: ulan
red: peyat
right: kowan
river: sowaŋ
road: lān
root: gamut
rope: lubid
rotten: haluʔ
round: tibuluŋ
rub: sapu
salt: asin
sand: umus
say: yuk
sea: tahik
sea: tahik
seed: binihiʔ
sew: tahiʔ
sharp: tōm
short: pondok
sing: kalaŋ
sit: teŋkō?
skin: kuwit
sky: laŋit
sleep: tuli
small: nahut
smell: hamut
smoke: humbu
smooth: lanuʔ
snake: sowa
some: niyaʔ
spit: ludaʔ
split: bilaʔ
stab: dugsuʔ
stand: teŋge
star: bituʔun
stick: tuŋkud
suck: sopsop
sun: allaw
tail: heŋko
they: sigaʔam
thick: kapal
think: fandam
thin: nipis
thou: kaʔa
thou: kaʔam
three: tullu
throw: hiyak
tie: heŋkot
tongue: dellaʔ
tooth: empon
tree: kayu
turn: bīŋ
two: duwa
vomit: utaʔ
warm: pasuʔ
wet: basseʔ
what: aiyan
when: sumilan
which: maiŋgahan
white: poteʔ
who: saiyan
why: aŋayan
wide: luha
wife: handa
wind: baliyu
wing: pikpik
woman: denda
worm: kalog tanaʔ
wrong: iŋgaʔI tawwaʔ
year: tahun
