all: inkoh
ashes: gombod
bark: ʔallo
belly: garba
big: naba
bird: kimbiro˗kimbiro
bite: are
black: data
blood: biːlu
bone: laf
bone: lafa
breast: angu
burn: ħarar˗ase
claw: lifiʔ
cloud: ʔambure
cold: galaʔo
die: y˗emeete
dog: kare
drink: yoʔube
dry: kafe
ear: ʔokka
eat: beete
egg: lalimto
eye: intiː
father: abba
fat (n.): era
fire: gira
fish: asa
fly (n.): qaʔayto
foot: iba
give: yoħe
good: meʔe
grass: ʔayso
hair: dagarto
hand: gaba
head: amo
heart: afʔado
hear: y˗obbe
horn: gaysa
I: anu
kill: ʕide
know: y˗ed\ige
leaf: d\ad\ayto
liver: tiraw
long: d\er
man: labhayto
many: mango
meat: ħado
moon: alsá
mountain: koːma
mouth: af
name: migaʔ
neck: filla
new: ʔusub
night: bar
one: inik
other: aki
rain: rob
red: ʔasa
road: araħ
root: rimid
sand: hoːtsa
say: y˗ed\ħe
seed: daro
see: y˗uble
sit: dite
skin: qarbat
sleep: diːne
small: ʔund\a
smoke: tike
snake: ʔaroːra
stand: daw y˗ed\ħe
star: ħutukta
stone: d\ayto
sun: ayro
swim: igiːlite
tail: sarra
thin: riqiq
this: ta
thou: atu
three: adoħ
tongue: anrab
tooth: iko
tree: ħad\a
two: lamma
walk: y˗ede
warm: laʔin
water: lay
we: nanu
wet: ad\ud\e
what: aʔale
white: ʔado
who: iyayto
woman: numa
you: atin
