all: alla
and: och
animal: djur
ashes: aska
ashes: aska
at: vid
bad: dålig
bark: bark
belly: mage
belly: mage
big: stor
big: stor
bird: fågel
bird: fågel
bite: bita
bite: bita
black: svart
black: svart
blood: blod
blood: blod
blow: blåsa
bone: ben
bone: ben
breast: bröst
breast: bröst
breathe: andas
burn: brinna
burn: brinna
child: barn
cloud: moln
cloud: moln
cold: kall
cold: kall
come: komma
come: komma
count: räkna
cut: skära
day: dag
die: dö
die: dö
dig: gräva
dirty: smutsig
dog: hund
dog: hund
drink: dricka
drink: dricka
dry: torr
dry: torr
dull: tråkig
dust: damm
ear: öra
ear: öra
earth: jord
eat: äta
eat: äta
egg: ägg
egg: ägg
eye: öga
eye: öga
father: far
fat (n.): fett
fear: frukta
feather: fjäder
feather: fjäder
few: få
fingernail: nagel
fingernail: nagel
fire: eld
fire: eld
fish: fisk
fish: fisk
five: fem
float: flyta
flower: blomma
fly (v.): flyga
fly (v.): flyga
fog: dimma
foot: fot
foot: fot
forest: skog
four: fyra
freeze: frysa
fruit: frukt
full: full
full: full
give: ge
give: ge
good: god
good: god
grass: gräs
green: grön
green: grön
hair: hår
hair: hår
hand: hand
hand: hand
head: huvud
head: huvud
hear: höra
hear: höra
heart: hjärta
heart: hjärta
heavy: tung
he: han
he: han
here: här
here: här
hit: slå
hold: hålla
horn: horn
how: hur
hunt: jaga
husband: make
ice: is
if: om
I: jag
I: jag
in: i
kill: döda
kill: döda
knee: knä
knee: knä
know: veta
know: veta
lake: sjö
laugh: skratta
leaf: löv
leaf: löv
left: vänster
leg: ben
lie: ligga
live: leva
liver: lever
liver: lever
long: lång
louse: lus
man: man
man: man
many: många
many: många
meat: kött
meat: kött
moon: måne
moon: måne
mother: mor
mountain: berg
mountain: berg
mouth: mun
mouth: mun
name: namn
narrow: trång
near: nära
neck: hals
neck: nacke
new: ny
new: ny
night: natt
night: natt
nose: näsa
nose: näsa
not: inte
not: inte
old: gammal
one: en
one: en
one: ett
other: annan
person: människa
person: person
play: leka
pull: dra
push: trycka
rain: regn
rain: regn
red: röd
red: röd
right: höger
road: väg
road: väg
root: rot
root: rot
rope: rep
rotten: rutten
round: rund
round: rund
salt: salt
sand: sand
sand: sand
say: säga
say: säga
seed: frö
seed: frö
see: se
see: se
sharp: skarp
short: kort
sing: sjunga
sit: sitta
sit: sitta
skin: hud
skin: skinn
sky: himmel
sleep: sova
sleep: sova
small: liten
small: liten
smoke: rök
snake: orm
snow: snö
spit: spotta
split: dela
stand: stå
stand: stå
star: stjärna
star: stjärna
stone: sten
stone: sten
sun: sol
sun: sol
swim: bada
swim: simma
swim: simma
tail: svans
tail: svans
that: det där
there: där
there: där
they: de
they: de
thick: tjock
think: tänka
thin: smal
this: den/det här
this: det här
thou: du
thou: ni
three: tre
throw: kasta
tongue: tunga
tongue: tunga
tooth: tand
tooth: tand
tree: träd
tree: träd
turn: vända
two: två
two: två
vomit: spy
walk: gå
walk: gå
warm: varm
warm: varm
wash: tvätta
water: vatten
water: vatten
wet: våt
we: vi
we: vi
what: vad
what: vad
when: när
where: var
white: vit
white: vit
who: vem
who: vem
wide: vid
wife: fru
wind: vind
wing: vinge
with: med
woman: kvinna
woman: kvinna
worm: mask
year: år
yellow: gul
yellow: gul
you: du/ni
