and: taɟədfit
ashes: tnifəst
bird: aždit
bite: məhš
bite: øffəz
bitter: zayaː
black: sət̪t̪of
brother: umm
cloud: təžnau
come: yusəd
dig: øbbəs
dog: iyidi
ear: taməzzugt
fall: at̪u
father: babaː
fat (n.): tad̪ɛnt
feather: taržalt
few: druːs
finger: d̪aːd̪
fire: timsi
full: əččur
full: iččuːr(u)
give: uš
head: ikof
hit: awot
horn: iš
how: emmic
laugh: d̪øss
lip: at̪lus
louse: tiršit
neck: tacrəmt
new: trir
old: aussar
one: iǯǯən
one: iǯǯət
other: iǯǯən~itən
rain: amẓar
rat: aɟərdi
rope: tašəmmit
salt: tisənt
sand: židi
say: in
say: siwəl
see: zorr
sew: əzmic
shoulder: takrut
sing: adiaz
skin: iləm
small: məẓẓi
son: yai
star: iri
stone: tkakit
sweet: taməmt
tail: tamaɣɣalt
three: šarət
today: assa
tooth: isin
turn: ənnat̪
wash: sira
weep: əl
where: saːl mani
wind: taɟrəst
wood: takarit
worm: taɟəčči
