all: nahroh
ashes: tǝpǝh
belly: lǝput
big: pagɔh
bird: kawaw
bite: gɔn
blood: maham
bone: ӡaʔaŋ
breast: tu
claw: tǝrkɔʔ
cloud: samɔʔ
come: tǝl
die: kǝbus
dog: cɔ
drink: ӡǝʔoh
ear: ntǝŋ
earth: ʔatɛ
eat: ca
egg: kapɔh
eye: mad
fat (n.): lǝcuʔ
fire: ʔus
fish: ka
foot: ӡoŋ
full: tǝbiŋ
give: ӡon
good: ʔiloʔ
hair: sup
hand: ti
head: kuj
hear: pǝjɔŋ
heart: gǝnɔs
I: ʔǝй
knee: kǝltoŋ
know: kɛʔ
leaf: sala
lie: dǝm
liver: grɛs
long: ӡlaŋ
louse: ci
man: ʔipǝʔ
many: balɔʔ
meat: nsec
moon: bolan
mountain: bǝnǝm
mouth: kǝnɨd
name: ӡǝŋmɔh
neck: lǝŋɛt
new: spaj
night: plit
nose: muh
not: beh
one: muj
person: samɔʔ
rain: gǝma
red: surɔt
road: tǝruŋ
root: rɛh
say: pǝŋjǝŋ
see: cɛn
sit: kom
skin: gǝtuh
sleep: gateʔ
small: kanɛd
smoke: ӡǝlǝk
stand: ʔaw
stone: tǝmɔŋ
swim: йlaj
tail: hǝtaʔ
that: tǝʔ
this: nɔʔ
thou: hiʔ
tongue: lǝpɛs
tooth: lǝmɔй
tree: dǝlɔŋ
two: bǝlbar
two: mar
walk: swag
water: ӡǝʔoh
we: jɛ
what: ʔamǝh
white: punhǝl
who: ŋkɔʔ
woman: kǝdor
