all: tāʔātoʔa
and: ʔe
animal: [ʔanimara]
ashes: rehu
back: tua
bad: ʔino
bark: paʔarāʔau
because: no te mea ē
belly: ʔōpū
bird: manu
bite: hohoni
black: ʔereʔere
blood: toto
blow: puhipuhi
bone: ivi
breast: tītī
breathe: aho
burn: tānina i te auahi
child: tamariʔi
cloud: ata
cold: toʔetoʔe
come: haere mai
correct: ʔāfaro
count: taiʔo
cut: tāpū
die: pohe
dig: heru
dirty: repo
dog: ʔurī
drink: inu
dry: marō
dull: mania
dust: huʔahuʔa
ear: tariʔa
earth: fenua
empty: pau
eye: mata
fall: tex
far: ātea
father: [pāpā]
fat (n.): miʔi
fear: riʔariʔa
few: emea iti
fingernail: maiʔuʔu
fire: auahi
fish: iʔa
five: pae
float: pāinu
flower: tiare
flow: tahe
fly (v.): rere
fog: rūpehu
foot: ʔāvae
forest: ʔururāʔau
four: maha
frog: [rana]
fruit: māʔa hotu
full: ʔī
give: hōroʔa
good: maitaʔi
grass: mātie
green: mātie
guts: ʔāʔau
guts: ʔāʔau
hair: rouru
hand: rima
head: upoʔo
hear: faʔaroʔo
heart: māfatu
heavy: teiaha
he: ʔoia
hit: tūpaʔi
horn: tara
how: nāfea
husband: tāne
ice: pape paʔari
if: mai te mea ē
in: i roto
I: vau
kill: haʔapohe
knee: turi
know: ʔite
lake: roto
large: rahi
laugh: ʔata
leaf: rauʔere
left: ʔaui
leg: ʔāvae
lie: ta?oto
live: ora
liver: upaʔa
long: roa
louse: ʔutu
man: tāne
many: e rare rahi
meat: ʔiʔo
moon: ʔāvaʔe
mother: [māmā]
mountain: mouʔa
mouth: vaha
name: iʔoa
narrow: oaoa
near: fātata
neck: ʔaʔ
new: ʔāpĩ
night: Pō
nose: ihu
old: rūʔau
one: hōʔē
person: taʔata
play: haʔuti
pull: huti
push: tūraʔi
rain: ʔua
red: ʔuteʔute
right: ʔatau
river: ʔānāvai
road: [purūmu]
root: aʔa
rope: taura
rotten: pē
round: menemene
rub: ʔui
salt: miti popaʔā
sand: one
say: faʔaʔite
sea: miti
sea: miti
seed: huero
sew: [nira]
sharp: ʔoi
short: poto
sing: hīmene
sit: pārahi
skin: ʔiri
sky: raʔi
sleep: taʔoto
small: iti
smell: hauʔa
smoke: auauahi
smooth: mānina
snake: [ʔōfĭ]
snow: [hiona]
some: tetahi
spit: tutuha
split: ʔāmaha
stab: pātia
stand: ti?a
star: fētiʔa
stick: tura toʔotoʔo
straight: ʔāfaro
suck: ʔote
sun: mahana
tail: ʔaero
they: rātou
thick: meʔumeʔu
think: feruri
thin: rairai
thou: ʔoe
thou: ʔoutou
three: toru
throw: taora
tie: tāʔamu
tongue: arero
tooth: niho
tree: tumu rāʔau
turn: huri
two: piti
vomit: pihaʔe
warm: veʔaveʔa
wet: haumi
what: eaha
when: ʔāfea
which: teihea
white: ʔuoʔuo
who: ʔo vai
why: no te aha
wide: ʔaʔano
wife: vahine
wind: mataʔi
wing: pererau
woman: vahine
worm: toʔe
wrong: hape
year: matahiti
yellow: reʔareʔa
