all: kahaβāɣ
and: ruʔ
animal: ḳašinuɣ
ashes: ḳaβu-ɬiʔ
back: mkašuɣ
bad: aḳih
bark: ḳaɬiʔ
because: aḳih ɣiʔ
belly: ʔakhuɬ
bird: kaβah-niḳ
bite: k-um-āt
black: ma-γaɬawaʔ
blood: ramūx
blow: ʔ-um-iyup
bone: βakniʔ
breast: xuxuʔ
breathe: γa-γišunaʔ
burn: ši-čuɬiŋ
child: ʔuɬaḳiʔ
cloud: hamhum
cold: ɣihaḳ
come: mwah
correct: ĉu-βaɬay
count: ɬ-um-puγ
cut: h-um-iβaɣ
day: ḳaɬy-an
dig: k-um-aihu
dirty: ma-ʔuraγ
dog: xuyiɬ
drink: m-nuβu-a-ɣ
dry: ma-rŋuʔ
dust: ʔaβiŋ
ear: čaŋiaʔ
eat: man-iḳ
egg: βatuʔ
empty: ʔukaš
eye: rawiḳ
fall: ma-taku
far: tatuhiʔ
father: yaβaʔ
fat (n.): ḳnuʔ
fear: ma-ʔičuɣ
feather: paɬiʔ
fight: ma-čβuʔ
fire: hapuniḳ
fish: ḳuɬih
five: ʔima-yaɬ
float: ma-š-ḳa-ḳaɬiʔ
flower: pahpah
flow: mana-huɬuy
fly (v.): man-βahaɣ
foot: kukuy
forest: ɬahuɬahuw
four: šapāt
frog: taka
fruit: βuay
full: m-ka-šiʔun
give: maiḳ
good: βaɬa-iḳ
grass: kiʔman
green: ma-wašiḳ
guts: ɣiuš
guts: ɣiuš
hair: ʔaβaγ naʔ tunux
hand: ḳaβaʔ
head: tunux
hear: muŋ
heart: ḳaḳariyat
heavy: ʔimuɬ-iḳ
he: ʔi-hiyaʔ
hit: mahiy
horn: taŋuḳiy
how: mahananua
hunt: ḳ-um-aɬuap
husband: mamałiku
ice: huɬaḳiy
if: nišinaʔ
I: ʔi-kuiŋ
in: tiγi-čkaʔ
kill: t-um-utiŋ
knee: tariʔ
know: βaḳ-un
lake: wačiɬuŋ
large: rahuwaɬ
laugh: ma-šiyaḳ
leaf: ʔaβaɣ
left: ʔiɬ
leg: kukuy
lie: mataɣaɣaɣ
live: ma-ḳiyanux
liver: šayik
long: ḳanarūx
louse: kuchiŋ
man: mamaɬiku
many: payux
meat: hiʔ
moon: βua-tiŋ
mother: yayaʔ
mountain: rayiyax
mouth: ŋakuaḳ
name: raɬuʔ
narrow: ʔirhiy
near: šaw-βih
neck: wariyuŋ
new: ʔiḳaš
night: mhatan
nose: ŋuhuy
old: čapaŋ
one: ḳutux
person: čuḳuɬ-iḳ
play: muɣunauʔ
pull: h-um-uɬuy
rain: ḳuaɬax
red: ma-tanah
right: ?anan
river: ɬuɬiyuŋ
road: raniķ
root: ɣamiɬ
rope: ḳinaʔapiʔ
rotten: ma-βuruk
round: m-tumurul
rub: ɣ-um-ašγuš
salt: timuʔ
sand: βunaḳiy
say: m-haču
sea: βaruʔ
seed: ɣa-ɣhap
sew: č-um-aʔiŋ
sharp: ŋauš-un
short: ʔilštiŋ
sing: ma-ḳuwaš
sit: ma-thawnak
skin: kuahiɬ
sky: kāl
sleep: ma-ḳiɬāp
small: tikay
smell: š-um-auk
smoke: ɣuhίɬuḳ
smooth: hawtiʔ
snake: ḳuruʔ
snow: huɬa-kiy
some: kia-tikay
spit: putunaḳ
split: maɣmuɣ
squeeze: muḳ
stand: man-čaʔrux
star: βuliḳ
stick: haukuʔ
stone: βatu-nux
strike TSY: mahiy
sun: waɣiʔ
tail: ŋaʔŋuʔ
they: ʔi-nhaʔ
thick: kihma
thin: ɬihpiḳ
think: ɬ-um-aŋɬuŋ
thou: ʔi-čimu
thou: ʔi-šuʔ
three: tu-yaɬ
throw: paktiʔ
tie: m-huɬ
tongue: hmaʔ
tooth: γiʔnux
tree: kahuniḳ
turn: mtupiyux
two: ʔuša-iŋ
vomit: mutaḳ
warm: ma-kiɬux
wet: ma-huiḳ
what: nanu-an
when: ʔi-kanuwan
where: ʔinuʔ
white: ma-ʔuβaʔ
who: ʔimaʔ
why: mi-čuwaʔ
wide: ʔiɬahaŋ
wife: kanayriɬ
wind: βayhu
wing: ḳa-ḳahiŋ
woman: kanayriɬ
worm: βičuɣ
wrong: ma-nahuḳ
year: kāɬ
yellow: maɣ-turakiš
