bark: bagaʔ˗
belly: ɛlk
big: madɛ
bird: gal
bite: nam
black: dɨy
blood: afut
breast: wigit
burn: mo baksɛ
claw: mazi
cloud: kʷɛ mariza
cold: ʔilk
come: le
die: tirizaʔ
dog: ʔal
drink: masa
ear: ʋint
eat: nam
egg: kɔlk
eye: ʔɛt
father: baw
fat (n.): bɔgɔ
fire: mo
fish: gɨldɛ
fly (n.): kan
foot: lut bay
give: uʋa
good: wiad
grass: lel
hair: sugut
hand: ʔas
head: ɔl
hear: fiŋ\isa
horn: gurun
I: a
kill: kani
knee: kusum
know: ɲal
leaf: ˗wint
long: ǯarɛ
louse: ǯink
many: talga
man: ǯanfuy
meat: oiɲ
moon: turiaʔ
mountain: gam
mouth: ʔulk
name: bil
neck: aŋalk
night: wagdozɛ
one: taman
rain: kʷɛ
red: balɛ
road: taiyit
root: ˗filit
sand: sazaʔ
say: kɔranzɛ
see: turus
sit: wa\tat
skin: sodu
sleep: nagana
small: ɲan
snake: dɛr
stand: dɔsɛtaw
star: p\ayǯoʔ
stone: miɛt
sun: tɛl
tail: ɛrut
this: ni
thou: u
three: ʔoɛ
tongue: ka\lat
tooth: ɲigud
tree: gu\lu
two: diak
walk: wa\ǯara
warm: lozɛ
water: fɛk
we: diak
what: ɲɛ
white: p\oɛ
woman: ɔt
