all: ɗúllɛ
animal: ɲáːma
arm: niːsʊ
arm: nisínɛ
ashes: ndɔːlɔ
back: ɗɔ́ːrɛ́
back: doːreriː
back: ni˗ɗɔ́ːrɛ́
bad: aŋorɔ́ːŋɔ́
bad: ˗oruba
bark: níd̪ɪ́ːfɛ
bark: t̪ɪːfɛ́
belly: aːdi
belly: aːd̪i
belly: aði
belly: naŋád̪i
big: ˗igi
big: íːgi
big: kíːfi
bird: kolo
bird: nd̪ʊɣáːí
bird: ʊwáːí
bite: ʊmáŋ
black: aɲʊ́ːlá
blood: ard̪a
blood: oba
blow: (p)fúlʷaːgɛ́
bone: kʊ́ɓʊ́ːní
bone: nʊ́gʊ́ɓʊ́ːni̪
branch: ni˗sílɪ́mɪ́
branch: sílɪ́mɪ́
breast: t̪˗ɑnɔgʊ
breast: t̪onugwu
breathe: íːlá t̪iɲá aɗɔ
brother: ɓáláníːma
brother: kaláːnígíma
burn: maɗʊrɛ
chest: ro
child: baladadi
child: ɓíld̪a
child: kɪlyá
claw: másálɔ́ɔgá ̊ka˗nd̪ʊgáːí͂
cloud: ndiːgʊ
cold: ŋádɛ́ṛi
come: áɗia
come: ɗíá
count: íːnáːnɛ́
cut: at̪t̪ɛ
cut: (p)fáŋi
day: orugi
day: ʊrʊ́ːni
day: ɪːyá
die: aːɛ́
dig: íɗíáːna
dirty: aŋɔrɔ́ːɓɔ́
dog: denera
dog: ɛːrá
dog: irʌ
dog: nigít̪íːni
drink: ʊːwɛ
dry: (n˗)árʊ́mɛ̂
dust: t̪úŋgu
ear: nɛ́sínɛ
ear: neːso
ear: nɛːsɔ
earth: fuda
earth: fuɗʷá
eat: aguri
egg: sulʌ
egg: t̪u˗súlɛ́
eye: aiyi
eye: ayyɛ
eye: kilyá˗m˗íyyɛ
fall: aɗíŋga
far: íːrʊ
father: ɪ́ma
father: ʊmpá
fear: áráɓá
feather: t̪i˗náɓá
few: k˗it̪ɔ́llí
few: k˗it̪t̪yɔ́
fight: arɛ́ːnɛ́
finger: ɓílda má nd̪iniːsʊ
fingernail: ka˗sálɔ́ɔgá
fingernail: ma˗sálɔ́ɔga
fire: iːsiː
fire: issi
fish: kalɔ́ːga
fish: mid̪i˗gɔlɔ́ːga
five: kamini
five: niːsʊ
flower: t̪ʊ́lɪ
flow: ʊ́ːfʊ
fly (n.): aːsa
fly (v.): afɪ́
fog: gʊr(ʷ)aːna
foot: awwa
foot: ʊːnɛ
forest: ndíːlɛːɓʊ́
four: ɛ́ːgissa
four: kigiso
full: ad̪iginɛ́
give: ná
good: ˗adiːla
good: (n˗)aɗɪ́ːlá
grass: tú
green: agɪ́ːrí
guts: au
guts: mid̪áː˗ɗísi
hair: auwʌ
hair: nd̪ɪn˗áwwá
hand: niːsʊ
hand: nisínɛ
head: aŋɒ́d̪u
head: ni˗aŋɒ́d̪u
hear: iːfiɲá
heart: t̪ʊ˗nɔgʊ
heavy: at̪t̪áɓɛ́
here: neŋnagade
he/she: ˗aduga
he/she: ˗aduga
hit: rɔ́ːna
hole: ayyɛ
hole: nigínnɛ
horn: t̪in˗iːda
house: diː
hunt: (ŋgwá) d̪aːsa
husband: ɲʊrí
I: aːa
I: aʔa
I: ˗adi
kill: ɪːɗáːna
knee: kaːrusu
knee: mmí
knee: náː˗mí
know: ɔ́ːnɛ
lake: t̪ɔ́
laugh: iːɟáːnɛ́
leaf: ndandɛ́ maːfa
leaf: nírándɛ
left: gúːli
leg: awwa
leg: ʊːnɛ
lie: yyʊ́
live: ádá
live: ád̪íná
liver: ní˗d̪íɲi
liver: t̪iɲí
long: kúsúrɛ
long: (n˗)asurɛ́ːgɛ́
long: ŋussúrɛ́
man: kʊ˗naːdegoː
man: taː˗ɗɛ́ːgɔ
many: k˗íːgi
meat: ʊ́ːɗa
meat: ðoda
meat: oːda
moon: t̪arɛ
moon: teːre
mother: níːmá
mother: noːfa
mountain: b˗aːroro
mountain: miɲa
mountain: miɲa
mountain: nid̪ímiɲa
mountain: nid̪ímiɲa
mountain: nígíkiɲa
mountain: nígíkiɲa
mouth: ŋiːna
mouth: nim̀naːd̪i
mouth: niːna
name: ɛːrɛ
narrow: it̪t̪ɔ́llí
navel: kulu
near: afɛ́ː˗gat̪t̪ɛ
near: amoŋi
neck: (í)yyɛ́
neck: náːyɛ́
new: aːdígí
night: ɔːsʊ́nni
night: oːsoː
old: allí
old: kːfí
old: t̪i˗gɛ́ːfí
one: íŋínɔ́ːnɔ
one: niːŋoni
person: kád̪ú
person: kɔ́
play: aɓála
pull: ʌ́ːzi
push: kʊ́rʷɒːnɒ
rain: niː
rain: nni
rat: nifa
red: asíːri
right: gúri
river: náː˗rí
river: rí
road: nu˗fúːni
road: pfúːni
root: ɓárrɛ
root: ni˗ɓárrɛ
rope: nd̪˗ɔːrɛ
rotten: (á)káṛu
rub: árɔ́ʔi
salt: t̪imɛlá
sand: t̪isiŋɛ́ːnɛ́
say: ad̪ɛ́ːma
say: akinɪːnɪ
scratch: agurá
seed: íːgi
seed: migilɛ
seed: t̪in˗iːgí
see: siɲɟá
sew: aɗalaːna
sharp: nanákúri
short: (n)ad̪iɗíːrí
short: ŋ˗it̪t̪íɗí
sing: úːwɛ́
sister: ɓáláːníːma
sister: kaláːnígíma
sit: ámî
sit: ɛ́ɗáːnɛ
skin: náː˗d̪ʊ
sky: (ɗɔː) másála
sleep: ɪ
sleep: rigíd̪ɛ
small: atioma
small: kí˗ɗísɛ
small: ma˗ɗisɛ́ːlɛ
small: (m˗)ɛttyɔ́
smoke: ndiːgʊ
smooth: ʊ́ːɲʊ́gʊ́lí
snake: náː˗ni
snake: nni
split: araɓáːni kaɓʊ́
split: sʊ́ŋáː\ní˗gábʊ́
squeeze: ɛːna
stand: áɓʊ́ŋɛ́ɛ
star: madigi
star: t̪i˗mid̪igi
stone: ka˗zigi
stone: m˗isi
stone: mi˗zigi
straight: tɔŋ˗gɔ́ːná
suck: ɔːnɛ́
sun: aya
sun: ɪːyá
sweet: kuðua
swell: awu
tail: iːd̪í
tail: nigit̪áːni
take: ɗá
take: láː
thick: n˗aṭṭíṛá
thin: n˗ʊ́rʊ́ːrí
thou: ʊʔʊ
thou: ˗odu
thou: oːo
three: koːdona
three: ɔ́ːɗɔːna
throw: (p)faːna
tie: máɗɛ́˗kaɓʊ́
tongue: čadu
tongue: nid̪ɔ́ŋɔɗɔ́
tongue: t̪ʌŋʌdo
tongue: t̪ɔŋɔɗɔ́
tongue: ǯaːro
tooth: iːginiː
tooth: níd̪í˗giní
tooth: t̪i˗giní
tree: faː
tree: ffa
tree: náːfa
turn: asála karrɛ́
two: ɛ́ːrya
two: kera
vomit: ɔ́ːfɔ
walk: ŋ́gʷá
walk: ŋgʷá
warm: ŋ˗áláːla
wash: ʊwáːna
water: biði
water: biːgi
we (excl.): aːyʊ́
we (excl.): aːyʊ́
wet: (n˗)ɪ́ːfɪ́
what: minna
when: áːd̪a
where: kádíːyá
where: noŋgwa
white: afíːrá
who: nd̪á
wide: íːgi
wife: ko˗maniminia
wife: ɪːya
wife: yaːgɪː
wind: t̪iɲá
wind: tiɲa
wing: nírândɛ
wing: tandɛ
wipe: agiyána
woman: nímíɲa
woman: ɪːya
wood: kʊːfi
wood: kovi
wood: nʊ́gʊ́ːfi
worm: aɗɪ́ːnɔ́
worm: mɪdáːɗɪːnɔ
year: fálɛ
year: ni˗fálɛ
