all: engalek
and: wamu
and: wamu
animal: yaŋ
arm: mʌri
ashes: kama
ashes: kama
back: gemat-
back: gemat-
bark: sʌbʌl
belly: kerap-
belly: kerap-
big: baia
big: baia
bird: ni
bird: ni
bite: ki-
bite: ki-
black: dzapala
black: dzapala
blood: sap-
blood: sap-
blow: hi-
blow: hi-
bone: aihit-
bone: sihit-
bone: siɣit
breast: namo-
breast: namo-
breast: namu
breathe: wesi-
breathe: wesi-
brother: dat
brother: dat-
brother: dat-
burn: dze-
burn: dze-
claw: kawân-
claw: kawɑn-
cloud: kosu
cloud: kosu
cold: sanggeng
cold: saŋgeŋ
come: ka-
come: ka-
count: oyon-
count: oyon-
cut: kâri-
cut: kɑri-
die: kâmu-
die: kɑmu-
dig: asɑ-
dig: asâ-
dog: kiam
dog: kiam
dry: dzipkɑ-
dry: dzipkâ-
dust: iwai
dust: iwai
ear: kesap-
ear: kesap-
ear: ketsap
earth: bait
earth: bait
eat: ne-
eat: ne-
eye: kip
eye: kpat-
eye: kpat-
fall: ma-
fall: ma-
father: mam-
father: mam-
fat (n.): kalak-
fat (n.): kalak-
fingernail: silep
fire: girip
flower: dzuri-
flower: dzuri-
foot: hɨni
foot: kani-
foot: kani-
fruit: hal-
fruit: hal-
full: kâia kpe-
full: kɑia kpe-
give: nem-
give: nem-
good: eha
good: eha
green: asonga
green: asoŋa
hair: dzu-
hair: dzu-
hand: mârâ-
hand: mɑrɑ-
head: norok-
head: norok-
head: noruk
heart: wel bât-
heart: wel bɑt-
he/she: i
he/she: i
he/she: i
hit: kpe-
hit: kpe-
hold: kasa-
hold: kasa-
how: dasong
how: dasoŋ
I: ni
I: ni
knee: simin-
knee: simin-
know: nin-
know: nin-
lake: dzokâm
lake: dzokɑm
laugh: gisihi-
laugh: gisihi-
leaf: karem-
leaf: karem-
left: kpana
left: kpana
leg: hɨni
long: kârua
long: kʌrua
louse: imin
louse: imin
man: ip
man: ip
many: sesia
many: sesia
meat: busi-
meat: busi-
moon: kain
moon: kombol
moon: kombol
mother: nanggi-
mother: naŋgi-
mountain: bohonga
mountain: bohoŋa
mouth: koa
name: kiwa
name: kiwa
name: kpat
neck: dzel-
neck: dzel-
neck: dzʌl
new: gbilik
new: gbilik
new: gbilik-gbilik
night: singiaha
night: siŋiaha
nose: sâhâri-
not: mândâ
not: mɑndɑ
old: walaha
old: walaha
one: mohok
one: mohok
play: ariat
play: ariat-
pull: mâsâl-
pull: mɑsɑl-
push: kpeati-
push: kpeati-
rain: kia
rain: kia
red: pâsâha
red: pɑsɑha
right: hâla
right: hɑla
road: kâna
road: kɑna
road: kʌna
root: ânde-
root: ɑnde-
rope: sâhap
rope: sɑhap
round: korong korong
round: koroŋ koroŋ
sand: sak
sand: sak
say: dze
say: dzi-
say: dzi-
seed: gopi-
seed: gopi-
see: nen-
see: nen-
sew: kpali-
short: katong
short: katoŋ
sister: naɔŋ
sister: naung-
sister: nauŋ-
sit: ta-
sit: ta-
skin: sâwâl-
skin: sʌbʌl
skin: sɑwɑl-
sky: kuremen
sky: kuremen
sleep: gâohe-
sleep: gɑohe-
sleep: he
small: komora
small: komora
smoke: kasak
smoke: kasak
smoke: kʌßak
snake: kemala
snake: kemala
some: tosat-
spit: sotkân-
spit: sʌßat
stand: nan-
stand: nan-
star: sekelau
star: sekelo
star: sekelo
stick: bim
stone: banga
stone: baŋa
straight: dindiŋa
suck: bitsi-
suck: bitsi-
sun: kaiße
sun: kaiwe
sun: kaiwe
swell: bunggu-
swell: buŋgu-
tail: dzi-
tail: dzi-
that: mi
that: mi
there: ere
there: ere
they: ini
they: ini
this: mu
this: mu
thou: gi
thou: gi
thou: i
thou: ini
throw: wai-
tie: dziki
tongue: edzelâm-
tongue: edzelɑm-
tongue: etselam
tooth: dzât-
tooth: dzɪt
tooth: dzɑt-
tree: ip
tree: ip
turn: meleng-
turn: meleŋ-
two: râhât
two: rɑhɑt
vomit: lon-
warm: girua
warm: girua
warm: komotia
warm: komotia
wash: dzua-
wash: dzua-
water: duku
water: duku
weep: sia-
weep: sia-
we: ni
we: nini
we: nini
what: nâmat
what: nɑmat
where: dumua
where: dumua
white: lalap
white: lalap
who: mâng
who: mɑŋ
wind: luhut
wind: luhut
wind: luɣut
wing: kpegam-
wing: kpegam-
woman: embat
woman: embat
wood: bim
worm: gusu
yellow: gbaot gbaot
yellow: gbaot gbaot
you: ini
