all: elm
big: pe-
bite: koc-
black: ka
blood: nӧtš
breast: mōr
burn: er-
claw: ǖr
cloud: muxuḷm
cold: ōr̲-
come: pōr-
die: soy-
dog: nōy
drink: uṇ-
dry: wɨṇx-
ear: kɨfy
eat: tɨn-
egg: muṭy
eye: koṇ
fat: kӧw
feather: tūfy
fire: tɨt
fish: mīn
fly (v.): pōr̲-
foot: kōl
full(ness): ner̲-
green: poč
hand: koy
head: tal
hear: kēɫ̣-
hear: pint-
horn: kub
I: ōn
kill: kwaly
know: ar̲y-
leaf: es̲
long: nīṛ-
louse: pǭn
man: koḍṇ
man: ōɫ̣
moon: nes̲of
mountain: mas̲
mouth: pōy
name: pǭr
near: aṛ-
new: puϑ
nose: mūk
not: *al-
one: oš
one: wɨḍ
red: kӧ-
root: pǭr
salt: up
say: ɨn-
seed: pɨt
see: kōṇ-
short: kur̲-
short: kuṭ
skin: twӯs̲
sleep: konof
sleep: tǖs̲
small: kɨr̲
smoke: pax
snake: pōb
stand: nɨl-
stone: kas̲
sun: nǭr̲
sun: pɨšt
swim: nīž-
that: aϑ
this: iϑ
thou: nī
tongue: nōf
tooth: pas̲
tree: mēṇ
two: ēḍ
two: īr-
walk: naṛ-
water: nīr
we (excl.): em
what: e-
white: pӧɫ̣
who: ēϑ
worm: puf
year: ōṛ
