all: -la
belly: poṭṭeˋ
big: daṭa
big: peri
bite: kaccuni
black: kariya
blood: netteru
breast: māru
burn: eriyuni
claw: uguru
cloud: mugalu
cold: āruni
come: barpini
die: saipini
dog: nāyi
drink: uṇpini
dry: oṇungelu
ear: kebi
eat: tinpini
egg: kuḍu
egg: moṭṭe
eye: kaṇṇu
fat: kommeˋ
feather: tuyi
fire: kittu
fish: mīnu
fly (v.): pāruni
foot: kāru
full(ness): neriyuni
give: korr
good: nēga
green: pacca
hair: kujel
hand: kai
head: tareˋ
hear: kēṇuni
horn: kombu
I: yānu
I: yēnu
kill: koleˋ
knee: maṇḍi
know: arupu
know: pinpini
leaf: eleˋ
lie: keḍaguni
liver: taŋka
long: nīṭa
louse: pēnu
man: āḷu
man: gaṇḍu
many: masthu
mountain: maleˋ
mouth: bāyi
name: pudaru
near: aḍ-
new: posa
night: rathri
nose: mūku
one: oñji
one: or
rain: barsaa
red: kem-
root: bēru
salt: uppu
say: anpini
seed: bittu
seed: goṭṭu
seed: koṭṭeˋ
see: kāṇ-
short: giḍḍa
short: kuru
sit: kullu
skin: tugalu
sleep: kana
small: kiri
smoke: pugeˋ
snake: pāmbolu-kēreˋ
stand: nilpuni
stone: kallu
sun: nesuru
sun: portu
swim: īcuni
swim: nīnduni
tail: tōkeˋ
that: āye
this: ī
thou: ī
tongue: nālayi
tooth: paru
tree: mara
two: iru-
two: radd
two: radd
walk: naḍapuni
water: nīru
we: enkulu
we (excl.): eŋkulu
we (incl.): nama
what: dā
white: boḷu
who: ēru
wind: gāli
woman: āḍe
worm: puri
year: iyyoḍu
