all: bɛ
and: di
and: o
and: rɛ
and: sɔ
animal: ɔ́sɛːm
animal: u˗sɛm
animal: úsɛːm
ankle: ɔ˗kɔčir wɑ ɑ˗ni
arm: kě˗tsaː
arm: ɑ˗loŋk
arrow: á˗soːr
arrow: kə˗tar
arrow: ɑ˗séno
ashes: r˗os
back: kə˗mut
bad: lès
bad: ˗ləs
bark: fóki
because: pəkɑšifɛ
belly: k\ɑmɑkəmtɑ
belly: k˗or
belly: k˗oːr
big: bána
big: bɑnɑ
bird: a˗bámp
bird: ɑm˗bɑmp
bite: ŋɑŋ
bite: t̪ɔm
bitter: róŋkɑt
black: bi
black: bi
blood: máčiːr
blood: mɑ˗čir
blood: mɑ˗tir
blow: fɛ́tlɑ
blow: kul
blow: pəti
bone: k˗èbant
bone: kə˗bɑnt
boy: ɑm˗bɔi
boy: wáhɛːturúni
branch: kɑ˗rɑ
breast: kɑ˗lɔnt
breast: r˗ása
breathe: góːsèm
breathe: ŋesəm
breathe: ŋesəm
brother: u˗wɔnt̪
brother: wóːantubáki
brother: wóːantufɛ́t
burn: fəei
burn: tɔi
butterfly: a˗tatka
calf: kə˗lɑgbo
calf: ɑ˗luk
cheek: ɑ˗kos
chest: aː˗kěbèt
chest: ɑ˗kəpət̪
child: ˗ɑn
chin: ɑ˗bɑkət
claw: a˗sant̪ək
cloud: ɑ˗bunt
cold: t̪ɑŋk
cold: tsáŋk
come: dér
come: ˗eːr
correct: t̪a˗lomp
count: lɔm
count: yirkɛ
crocodile: a˗kúi
cut: gbək
cut: rɑt
dark: bi
daughter: bɛ́rɑ
daughter: wɑn
daughter: wóːan bɛ́ra
day: ɑŋ rei
day: rɔ́˗yaːŋ
day: rɑ˗sɔk
die: fi
die: fi
die: fíː
die: ra˗fi
dig: bɛ́nɛ
dig: bɛs
dig: mɑŋk
dirty: nɔ́kɔ
dog: á˗dzèn
dog: æ˗tən
dog: ɑ˗t̪ən
drink: mun
drink: mún
dry: wos
dry: wóːsi
dust: ɛ˗tɔf
ear: álèns
ear: ɑ˗ləns
earth: an˗tɔf
eat: di
eat: dí
egg: rɑ˗mɛs
egg: rɔ́˗mɛːs
elbow: kè˗gbɔ́ːnt
elbow: ra˗gbɔlkɔnt̪
eye: ra˗fɔr
eye: rá˗fɔːr
eye: ɑ˗yin
face: d˗er
face: d˗eːr
fall: fúmpo
fall: fumpɔ
far: ɔ˗bɔ́li
father: kas
father: ɔ˗kas
father: pa
fat (n.): m˗ɑ́ro
fear: nesa
fear: rənes
feather: k˗úpɑ
few: t̪ɑn
fight: čim
