arm: inek
arrow: kɔyɔk
belly: ˗om˗
big: mbʊ
bird: ˗awe
bitter: nṭiḍɛr
black: ntutɪŋ
blood: ˗monɪt̪˗
bone: ɔm˗
boy: dal
breast: ɲɛlɪk˗
child: dal
claw: lʊl˗ɪt̪
cold: nɟulun
dog: o ~ wo
ear: wén
eat: lam˗
egg: ˗war˗
elbow: repe ~ refe
eye: nɪŋɪn˗a̪
father: apa
father: koɲʊnɔ
feather: kwompɛr
fingernail: lʊl˗ɪt̪
finger: nɪnat̪˗nt̪ɛ˗dal
fire: pɔdɪŋ
fish: alala
fly (n.): aŋw˗ɪs
foot: awat̪
girl: pʊšʊŋ
girl: pʊsʊŋ
good: ntoban
grass: ɔyɔm˗
guts: kʊrʊɲ
hair: ɟet̪˗ɪt̪
hand: nɪnat̪
head: lʊlo
hear: tɔŋwa
he/she: naga
he/she: naga
he/she: naka
he/she: naka
hit: ˗bat̪˗ɛ
hit: ˗bɛk
horn: kɪn
house: ɲua
I: nan
kill: ɔt̪˗ ~ ad̪˗ɛ
knee: nɔŋgʊ
man: kwɔrɔ
meat: ntɛt̪
mosquito: ˗t̪ampʊŋ˗
mother: aya
mother: oŋʊnɔ \yourˈˈ
mountain: kʊrɛt̪
mouth: ˗t̪ʊk
navel: sʊlʊk
neck: ŋalo
new: n(ḍ)iŋan
nose: kɪmɪŋ˗
not: ˗ɟa
old: ndorun
old: tiː
road: ɛnt̪˗ɪt
rope: m˗ɪs ~ m˗ɪš
salt: sɛlɛlɛ ~ šɛlelɛ
sand: kɔrɔm˗
say: lɛŋ˗ɛ
say: lɔn˗
short: nsɛrɛk
sit: tɛɲ˗
skin: laŋɔn
skin: laŋɔn
sleep: rɔŋɪn˗
small: sɪdɪdɪ
snake: lolʊk
star: dʊl˗
stone: kʊrɛt̪
sweet: tiɟu
tail: rɪŋ(g)a
they: nagat̪a
they: nakat̪a
thigh: sʊl˗ɪt̪
thorn: t̪ɪmmi
thou: kɪt̪
thou: nin
throw: ˗apʊrɔk ~ ˗ɔpʊrɔk
tongue: ˗mend̪iɲ˗
tooth: awɪs
tree: mɛrɛŋ˗ɪs
warm: waːraŋ
water: mʊŋ
weep: ˗ɔɟi˗ ~ ˗ɪɟi˗
we: kat̪
woman: lɪgamɛ
wood: dʊk
