all: ige
ashes: ukat
bark: peθ
belly: u
big: waʔ
bird: gwek
bite: gɛm
black: iman
blood: θeʔ
bone: ɔk
breast: nag
claw: sak
claw: saǯi
cloud: tumuθ
cold: čikwa
come: ač
dog: kudɔ
drink: wɛt
dry: iðege
ear: peθ
eat: gab
egg: abeyɛ
eye: ɛk
fat (n.): gimaʔ
fat (n.): muŋnat
feather: kotop
fingernail: sak
fingernail: saǯi
fire: dak
fish: kolɛʔ
fly (v.): irib
foot: tɛg
give: miaʔ
good: kolok
grass: oːʔ
hair: siǯ
hand: an
head: ik
hear: ibug
heart: buku
horn: ɛb
I: aya
kill: kɛn
knee: kutuŋ
know: yeč
know: yes
leaf: rom
liver: kewoː
long: igib
louse: gɛn
man: ŋɛtat
many: wɛr
meat: yei
moon: awan
mountain: ariː
mouth: ak
name: yed
neck: moːk
night: imɛn
one: ɛdɛθ
other: ɛdɛn
person: nɛb
person: yok
rain: war
red: du
road: od
root: tɛgad
round: mukul
sand: gim
say: baː˗
seed: kinjomat
see: iŋɛn
sit: gemač
skin: kus
sleep: enuč
small: gwat
small: manaŋ
smoke: ar
snake: gogoi
stand: iraɳ
star: kɔkɛl
straight: ratan
sun: gi
tail: akoθemat
tail: lado
this: nin
thou: bitia
thou: biya
three: iyɔn
tongue: ɛdɛɓ
tooth: ilog
tree: ad
two: nɛɓɛč
walk: gau
warm: aɓ
water: kweʔ
we (excl.): isia
we (excl.): isia
we (incl.): iɳa
we (incl.): iɳa
wet: ɓaɓal
what: ɛʔ
white: ʙeǯ
who: ič
woman: gwaθat
