all: ɲɛ́mak
animal: ɔ́ːma maríːɗa
arm: kisínɛ
arm: mɪ˗sawa
arm: níːsʊ
ashes: (t̪u˗)huɗá
back: dorɛ
back: ɗɔ́rrɛ
back: ke˗ɗɔ́rrɛ
bad: t̪áːɗɔrɛ
bark: t̪ifɛk
bark: t̪iŋgɔ́la
belly: áːdi
belly: kaði
belly: niŋg˗áːdi
big: ˗ikki
big: ˗íkki
big: kaɗuru
big: kaɗurú
bird: ali˗kóːi
bird: midi˗kóːi
bite: agíd̪ɛna
black: áɗduk
blood: aríːda
blood: kiriða
blow: húlɛ́k
bone: gúba
bone: gubúːni
boy: t̪amad̪ɪ
boy: t̪amad̪i
branch: nɛːsɔ mínd̪e˗aːdí
breast: anu
breast: kuntunu
breast: t̪unu
breathe: ɛ́ːlaɲa
brother: iríyɛ
brother: n˗iríyɛ
burn: ga˗hínnɛ
chest: ro
child: kaland̪ɪ
claw: mu˗sɔlɔ́ŋgɔ́ (maːdik˗ɔ́ːi)
cloud: ǹd̪ulûk
cloud: t̪ulûk
cold: eli̪me
come: ageɗɛ
come: aːi
come: ɔ́ːnɛ
count: íːnɛ́ːnɛ
cut: ɛt̪t̪ɛ
cut: hɔ́na
day: huŋgú
day: nʊ́rʊ́rʊ
day: ʊːrʊ́
die: at̪t̪ái
dig: igiɗáːna
dirty: aɟílʊ
dog: eːra
dog: it̪t̪íːni
drink: owɛ́
dry: ɔ́rɔ́mɛ
dust: ǹduɣúruk
ear: kisínɛ
ear: nɛːsɔ
earth: kuráʔ
eat: urí
egg: ǹɟúlɛ
egg: súlɛ
elbow: mɪ˗tɔrɔ
eye: áyye
eye: ɲéne
fall: iːrɛ́ːnɛ
far: ɔ́ɓɓá
father: ábba
father: éːma
father: kɔ́
fat (n.): ɔːɓá
fear: árəɓá
feather: tí˗mandala
few: g˗ít̪t̪i
fight: arɛ́ːnɛ
fingernail: k˗isilɔ́ŋgɔ
fingernail: m˗isilɔ́ŋgɔ
fingernail: mɪ˗sɪlɔŋgɔ
finger: t̪amad̪i maː níːsʊ
fire: gisi
fire: issi̪
fish: k˗iláwa
fish: mind˗iláwa
five: t̪úmmu
flower: ńd̪úlí
flower: t̪úlí
flow: íːsɔ
fly (v.): ámbe
fog: nḍak˗atiyuk
fog: ńdakkat̪íyok
foot: awa
foot: kunɛ́
forest: adilɛ́ːnɛ
forest: t̪íllɛ
four: kíːsu
full: ɪːd̪ɪːnɛ́
girl: ɓiláːd̪a
girl: ṭu˗lumu
give: ináː
good: ɔ́d̪ɔrɛk
grass: aːyá
guts: kássi
guts: t̪íŋ˗(g)ássi
hair: aláu
hair: kau
hair: t̪ínau
hand: kisínɛ
hand: níːsʊ
head: aːd̪ú
head: ad̪u
head: niŋ(g)áːd̪u
heart: tuŋgurú
hear: uhuɲá
heavy: íː˗díndi
