all: koːp
and: ŋul
animal: min̪-
bad: warr
bite: pat̪-
burn: t̪aːt̪-
child: parrʔ
come: pal
die: wonp
dog: kuta-
fall: wont-
father: ŋanip
fish: ŋat
foot: t̪ama-
give: reːk
good: min
grass: warrat̪-
hair: yaŋ-
hand: t̪akir
hand: yuːr
head: paːnt
hear: ŋeːy-
here: naka
hole: koːkom
hole: ran̪t̪-
house: pormpur
husband: maːra
I: ŋay
laugh: t̪aŋkar
leg: yaŋk-r
lie: wun
man: pam
many: moŋ
mosquito: woŋ-
mother: ŋanam
mouth: t̪aːw
name: namp
new: puːkam
not: kaːr
old: meːrkanam
old: ŋumpurr
one: t̪ono
person: okon
play: t̪owol-
sand: nan-
say: yik-
see: naːw-
skin: petn
sleep: wut
snake: yak
tomorrow: melnk-elnk-arr
tongue: kuuk-
tree: yuk-
two: kut̪irr
water: ŋok-
weep: meːrt
wife: paːn̪t̪
wood: yuk-
yesterday: ŋerŋkan
