all: hârowâk
and: akdo
and: akdo
animal: yo
arm: bɔt
ashes: kau
ashes: kau
back: hame-
back: hame-
bark: hɔk
belly: tep-
belly: tep-
big: humo
big: humo
bird: laut
bird: laut
bite: ihi-
bite: ihi-
black: heleng
black: heleŋ
blood: gilâm-
blood: gilɑm-
blow: wai
blow: wai-
bone: hahit-
bone: hait
bone: kandziŋ-
breast: nam-
breast: nam-
breathe: heak
breathe: heak
brother: teu
brother: teu-
brother: teu-
burn: de
burn: o-
burn: o-
claw: pekat-
claw: pekat-
cloud: hamadat
cloud: hamadat
cold: bâlâpnge
cold: bɑlɑpŋe
come: gu-
come: gu-
count: oyang-
count: oyaŋ-
cut: hâri-
cut: hɑri-
die: mo-
die: mo-
dig: kendɑ-
dig: kendâ-
dog: doa
dog: dua
dog: dua
dry: kamili-
dry: kamili-
dust: gahap
dust: gahap
ear: âdâp-
ear: ɑdɑp-
ear: ɔndɔp
earth: hân
earth: hɑn
eat: ne
eat: ni-
eat: ni-
eye: dewun-
eye: dewun-
fall: gi-
fall: gi-
father: ewe-
father: ewe-
fat (n.): kelu-
fat (n.): kelu-
fingernail: pik
fire: kɔlɔp
flower: huri-
flower: huri-
foot: kei-
foot: kei-
fruit: bun-
fruit: bun-
full: pik-
full: pik-
give: ning-
give: niŋ-
good: âlipnge
good: ɑlipŋe
green: golɑ
green: golâ
hair: dumut-
hair: dumut-
hand: bât-
hand: bɑt-
head: kaut-
head: kaut-
heart: okot-
heart: okot-
he/she: yâk
he/she: yɑk
he/she: yɔk
hit: ko-
hit: ko-
hold: me-
hold: me-
hole: lɔm
how: gain hinare
how: gain hinare
I: nɑ
I: nâ
I: nɔ
knee: pâwut-
knee: pɔwut
knee: pɑwut-
know: nâgâ-
know: nɑgɑ
lake: bâtgum
lake: bɑtgum
laugh: giring-
laugh: giriŋ-
leaf: esen-
leaf: esen-
left: kane
left: kane
leg: kei
long: kâlip
long: kɔlip
louse: imen
louse: imen
man: luâk
man: luɑk
many: biwirɑ
many: biwirâ
meat: sunum-
meat: sunum-
moon: dewutâ hâdâhân gâtnge
moon: dewutɑ hɑdɑhɑn gɑtŋe
moon: dewutɔ
mother: meme-
mother: meme-
mountain: gibânge
mountain: gibɑŋe
mouth: lau
name: kot-
name: kot-
name: kɔt
neck: han-
neck: han-
neck: imbe
new: irak
new: iraknge
new: irakŋe
night: hadâk
night: hadɑk
nose: hâme-
not: bo
not: bo
old: sâbâ
old: sɑbɑ
one: kânok
one: kɑnok
play: hâlimak-
play: hɑlimak-
pull: olongak-
pull: oloŋak-
push: hokok-
push: hokok-
rain: tânâk
rain: tɑnɑk
rain: tɔnɔk
red: gilâm-nge
red: gilɑmŋe
right: bun
right: bun
road: dâp
road: dɔp
road: dɑp
root: kâdârâ-
root: kɑdɑrɑ-
rope: tâk
rope: tɑk
round: gawâng gawâng
round: gɑwɑŋ gɑwɑŋ
sand: nupi
sand: sak
sand: sak
say: dɔ
say: ma-
say: ma-
seed: kâdet-
seed: kɑdet-
see: nek-
see: nek-
sew: parut-
short: tâlâwâk
short: tɑlɑwɑk
sister: tâu-
sister: tou
sister: tɑu-
sit: ta-
sit: ta-
skin: hâk-
skin: hɑk-
skin: hɔk
sky: hibim
sky: hibim
sleep: ye-
sleep: ye-
small: bâlenge
small: bɑleŋe
smoke: dâwok
smoke: dɑwok
smoke: mɔßok
snake: niabi
snake: niabi
some: bik-
spit: tâwut-
spit: towut
stand: kin-
stand: kin-
star: pitung
star: pituŋ
stick: buhâ
stone: kât
stone: kɑt
straight: tɔŋ
suck: musuku-
suck: musuku-
sun: dewutɔ
sun: poiap
sun: poiap
swell: kaule-
swell: kaule-
tail: dape-
tail: dape-
that: idɑ
that: idâ
there: idɑ
there: idâ
they: yâk
they: yɑk
this: i
this: i
thou: gɑ
thou: gâ
thou: gɔ
thou: ye
throw: hepu-
throw: hepu-
tie: dɔɣɔ
tongue: elewet
tongue: elewot-
tongue: elewot-
tooth: dât-
tooth: dot
tooth: dɑt-
tree: lâwin
tree: lɑwin
turn: purik-
turn: purik-
two: lâuwâ
two: lɑuwɑ
vomit: muhat-
warm: kâlâp
warm: kalɑp
warm: utun.nge utudâk
warm: utunŋe utudɑk
wash: puli-
wash: puli-
water: tu
water: tu
weep: ide-
weep: ide-
we: ne
we: nen
we: nene
what: wan
what: wan
where: wanân
where: wanɑn
white: kau
white: kau
who: kiɑ
who: kiâ
wind: bɔlɔp
wind: seru
wind: seru
wing: bâbâlâm-
wing: bɑbɑlɑm-
wing: piŋgim
woman: âbâi
woman: ɑbɑi
wood: buhɑ
worm: gipmaŋ
yellow: gibang
yellow: gibaŋ
you: ye
