all: hĩĻ:u-b
ashes: Ļ:ē
bark: q:ali
belly: χ:inta
big: hiḳˊa-b
bird: š:aḳib
bite: ḉun-
black: -eḉaṭu-b
blood: heri
bone: raĻ:i
breast: kˊekˊa
burn tr.: ċahal-
claw(nail): miλu
cloud: hinawu
cold: sa-b
come: -e-
die: -iḉ-
dog: χʷā
drink: c:a-
dry: -eʠ:u-b
ear: hanḳ\iṭa
earth: unš:i
eat: ʠ:an-
eat: ekʷĩ-
egg: ḳˊeḳˊama
eye: haḳ\a
far: č:iʷu
fat n.: λana
feather: λiru
fire: ċā
fish: χʷã
fly v.: -etʷ-
foot: kʷanš:a
full: -eċu-b
give: gʷa-
green: žimiƛ:a
hair: kˊara
hair: miḉa
hand: rela
head: ʔʷani
hear: anλ-
heart: raḳʷa
heavy: haḳuba-b
horn: ḳ\ama
I: de
kill: -iḉal-
knee: niku
know: -ij-
leaf: ali
lie: ʁord-
liver: aƛ:
liver: relaƛ:
long: -eχ:ala-b
louse: nac:i
man: heḳʷa
many: ʠ:aha-r
meat: riĻ:i
moon: boc:u
mountain: besa
mouth: s:unḳ\a
name: c:era
near: beĻ:araq:a
neck: g\aru
new: ċĩhu-b
night: reλa
nose: mijar
not: -hi
one: se-b
rain: c:ā
red: č:eč:u-b
road: miʠ:i
root: žʷala
round: ḳorḳalu-b
salt: c:ā̃
sand: bik:ˊi
say: hiĻ:-
seed: Ļ:eṭu
see: hã-
short: -ečaḳu-b
sit: buḳiλa
skin: ʁoča
sleep: Ļ:eχ(Vn)-
small: muḳutu-b
smoke: k:ʷĩ
snake: beḳa
stand: -iʁ-
star: c:aru
stone: hinċa
sun: miλi
tail: miʁa
that: o-
that: o-ja-
that: o-ja-
thin: -erala-b
this: a-
thou: me
tongue: mic:i
tooth: salu
tree: roha
two: ḳ\eja
walk (go): -eƛ:-
warm: ãs:a-b
water: λ:ẽ
we (excl.): iš:a
we (incl.): iƛ:a
what: e-la
white: haċa-b
who: ima-la
wind: muču
woman: hak:uj
worm: beḳa
year: rehan
yellow: aču-b
