all: káːk
big: dúːt
bird: wigit
black: kirík
breast: òǯut
cloud: àmkit
cold: ɲaŋne
come: lok
cut: kídà
die: iya
dog: wi
drink: lí
ear: utu
eat: ŋan
egg: kit
eye: mɛ́ti
fire: úː
fly (n.): miɲit
foot: màːr
give: sɛk
grass: teṛí
hand: awí
head: ŋur
hear: ikó
heart: amul
knee: áwúr
many: tɛrɛ́k
meat: eya
mouth: kwúl
night: wár
one: kwur
person: aṛiŋ
person: àt
road: tár
say: ǯaŋ
see: goːna
sit: ǯikín
sleep: ŋaṛisɛk
small: ìlit
snake: áwi
stand: oṛukin
stone: kwúra
sun: aṛí
three: iši
tongue: áṛat
tooth: ŋíːt
tree: gáan
two: wárí
walk: kwɔ̀ya
walk: lù
warm: kɛ́ri
water: káàl
white: ɛ́k
woman: í
woman: pl iṛiŋ
