all: pam
and: kəni
animal: nari muru
ashes: nəmrakʷ
back: takuta-
bad:  -eraha
bark: tekə-
because: tə nari in nah
belly: təpu-
bird: menu
bite:  -ahi
black:  -pitow
blood: neta
blow:  -əse
bone: nəkakri-
breast: nanhə-
breathe:  -eiahaŋ
burn: -ahi
child: iakun
cloud: napua
cold:  -akʷiei
come:  -uw
correct:  -atukʷatukʷ
count: -awsini
cut:  -arai
die:  -emha
dig:  -eri
dirty:  -arukʷas
dog: kuri
drink:  -anumʷi
dry: -awahak
dull:  -ɸa
dust: makʷrur
ear: nəɸreŋə-
earth: təna
empty:  -uku
eye: nenime-
fall:  -ù (tauŋ)
far: isupʷən
father: tata
fat (n.): nərpʷa
fear:  -əhekər
few:  -ouihi
fingernail: nəpəspəs
fire: loo
fish: nəmu
five: kərirum
float:  -eai
flow: -arəs
flower: tihi-
fly (v.):  -eai
fog: namahakʷien
foot: nəsu-
forest: nəmai nari
four: keɸa
fruit: nəkʷa-
full:  -kuar
give:  -wahi pehe
good:  -amasan
grass: nurhi
green:  -amrəmera
guts: naninha
guts: naninha
hair: numri nukʷane-
hand: rəŋi-
head: kapʷa
hear:  -reŋi
heart: nəkenaku
heavy:  -ɸam
he: in
hit:  -os (i)
horn: nəpati-
how:  -əɸa
hunt:  -eɸaiuk
husband: ierman
if: ka
I: iou
in: ianakʷa-
kill:  -os(i) apune
knee: nukuru-
know:  -rukurən
lake: nэsiui
large:  -asori
laugh:  -arəs
leaf: nəma-
left: mour
leg: nəsu-
lie:  -amak
live:  -muru
liver: nakanmapʷu-
long:  -apomus
louse: ur
man: ierman
many:  -puk
meat: nəsa-
moon: makʷa
mother: mama
mountain: takʷər
mouth: nakwa-
name: ηaŋhu-
narrow:  -awirəŋ
near: ipaka
neck: nua-
new:  -wi
night: nэpən
nose: nəpaseŋi-
old:  -akʷas
one: riti
person: iermama
play:  -apur
pull: -ewi
push:  -arər
rain: nesən
red:  -aruweruw
right: mʷatuk
river: nui arəs
road: suatuk
root: nua-
rope: nakʷus
rotten:  -akʷase
round: -rupu
rub:  -ahakʷ(i)
salt: nəŋar
sand: nəməkər
say: -ni
sea: təsə
sea: təsə
seed: nuni-
sew:  -atiri
sharp:  -ahia
short:  -kʷakʷa
sing: -oskaɸa
sit:  -akure
skin: tekə-
sky: neai
sleep:  -apri
small:  -ouihi
smell:  -ato
smoke: nəsei napʷ
smooth:  -pʷia
snake: ŋata
some: nepʷun
spit:  -araŋawus
split:  -oskriŋi
stab:  -əp(i)
stand:  -arer
star: kumhau
stick: kaskən
straight:  -atukʷatukʷ
suck:  -akʷmʷi
sun:  meri
tail: nəpiki-
they: irau
thick:  -kumkum
thin:  -əŋeəŋe
think: ñiñami
thou: ik
thou: kəmirau
three: kahar
throw:  -arak(i)
tie:  -akʷ (i)
tongue: naramə-
tooth: rewu-
tree: nei
turn:  -uwsini
two: kəru
vomit:  -rua
warm:  -apʷan (apʷan)
wet:  -əputəŋ
what: nəɸe
when: nesən
which: nəɸe
white:  -apsan
who: si
why: rəɸo
wide:  -asori
wife: pran
wind: nəmataŋi
wing: rəŋi-
woman: pran
worm: mʷətikaro
wrong:  -eraha
year: nuk
yellow:  -akʷeis
