all: gənná
and: burso
and: ni
and: ni...ni
and: ye
and: ye...ye
animal: káːkui
animal: ora
arm: kɛ
arm: ǯezo
ashes: ńneši
back: kusér
bad: zuntú
bark: afén
bark: héno
because: du
belly: kéši
big: bu
bird: čafori
bird: čɔuri
bird: kebri
bite: tei do ta
black: yásku
black: yɛ́sku
blood: gerɛ
blow: φu
bone: súrki
bone: súru
branch: targazí
branch: tərkəži
breast: túgum(o)
breathe: inši ter
brother: dinbiri
child: ágga
child: átai
child: odolu
child: yal
chin: lehu
claw: turkáno
cloud: bógu
cloud: kidi
cloud: kiri
cloud: kúti
cold: kiride
cold: wɔu
come: ɛ̀r
come: ir
correct: lau
count: bídɛn
count: hédiŋke
cut: yap
cut: yop
dark: yéskide
day: be(ne)
day: biː
day: dəski
day: yom
day: zɛː
die: nas
die: nos
die: nus
dig: la
dig: let
dig: lo
dirty: súsudeː
dirty: zódo
dirty: ǯɛné
dog: kédi
drink: ya
dry: čɔrdu
dry: nǯorde
ear: si(ː)
ear: sumo
earth: besaːφo
earth: taφú
egg: kuli
egg: ngúbelo
egg: šili
eye: sa
eye: sao
eye: sómo
fall: kɔr
far: dogú
far: doko
father: ábba
father: zeː
father: zebeː
father: zei
father: zuméi
fear: náuši
fear: náuso
fear: noːši
feather: difiní
feather: ɛfirí
feather: ehori
few: kono
few: mintɛ
few: minti
fight: goːi
fight: gua
finger: aːbei
finger: awɛ́
finger: ebe
fingernail: turko͂
fingernail: turkɔmé
fingernail: turkón
fire: wíni
fire: wúeni
fire: wuní
fish: bɔsú
five: φo
flower: boː
flower: φohori
flow: yak
fly (n.): sidèno
fly (n.): sosun
fly (n.): súdun
fly (v.): bur
fly (v.): hər
fly (v.): lele
fog: gúntu
foot: dege
foot: sa
foot: šiː
foot: tulu
forest: óleni
four: tozo
fruit: nugóu
full: čumpode
full: tígúmbideː
full: tigumφedeː
give: yɛn
good: čosso
good: gale
good: gáli
good: laha
good: tiri
grass: braǯi
grass: ílli
grass: le
grass: li
green: zedé
green: zedo
green: ziːtu
guts: kešege
hair: diφiní
hair: tonoso
hand: kɛ
hand: kóbei
head: dahu
head: daú
hear: bas
heart: agór
heart: awar
heart: awɔ́r
heavy: jɔːdɛː
heavy: tékkede
heavy: yigedi
he/she: hən
he/she: hən
he/she: m(v)re
he/she: m(v)re
he/she: nsən
he/she: nsən
he/she: sən
he/she: sən
he/she: səŋgá˗ga
he/she: səŋgá˗ga
he/she: (ta)mure
he/she: (ta)mure
he/she: ˗(w)umma
he/she: ˗(w)umma
hit: bap
hole: búrru
hole: gibi
hole: kubo
hole: lúːli
horn: yai
horn: yayí
house: boː
house: yɛː
house: yeɔ
how: negai
how: negəndú
how: nígedi
hunt: eùs
hunt: ganis
husband: amrri
husband: omri
I: ˗nər
I: taŋgá˗ga
I: taní
I: tɔbre
kill: yit
knee: tei
knee: tiː
knee: toyá
know: he
know: mun
know: nànà
lake: billí
lake: φódi
laugh: gas
laugh: kas
laugh: kazz
leaf: kolú
leaf: ógur
leaf: siː
left: ánegi
left: aŋki
leg: degé
leg: sai
leg: šiː
leg: šiɫ goro
lip: kauhedu
lip: kohudu
live: dak
liver: mahan
liver: máheno
long: drússu
louse: maːsko
man: amrí
man: anyi
many: búdu
many: múntu
meat: yaːni
meat: yáːni
meat: yiní
meat: yiní
meat: φarkai
moon: auri
moon: ɔurí
mother: aya
mother: de
mountain: ɛíː
mountain: ɛiː drússo
mountain: emi
mountain: ǯúliː
mouth: či
mouth: kai
mouth: kiː
name: ču
name: kyuː
name: súro
name: suru
narrow: sónno
near: durkunde
near: edin
neck: tai
new: ɛ́ski
night: dugusú
not: ša
not: ši
old: birgədí
old: bui
old: čozze
one: tron
other: kudi
person: amma
person: amo
play: áːbi
pull: kás
push: tər
rain: níŋgeli
rain: yi
red: máːdema
red: maːdo
right: beriː
right: bre
right: briː
river: éneri
river: suri
river: φódi
road: doro
road: torgo
road: zulon
road: zurul
root: dyulu
root: džúlu
root: súrgi
rotten: φuφuk
round: kúlidɪː
salt: ɛ́rɛː
salt: gálin
salt: gilin
salt: greni
salt: kupča
salt: manda
sand: aːniší
