all: d\àː
ashes: ˗kúrɔ́ːn
bark: yɛqɔbɪːtʰ
belly: qɔːʠ
big: ebɔlɔːt
bird: ˗kɛn
bite: tɔkʲɔːn
black: lʊɣrriːyɔn
blood: ˗qɔt
bone: á˗koí˗t
bone: ŋqɔːyɔ
breast: ˗qaːθɪn
brother: kičɪn
claw: ˗muyo
cloud: yɛd\ɪs
cold: ˗qa
come: bʷa
die: tɔ˗twɔn
dig: adama
dog: yiːŋɔk
drink: t̪ɛ˗mɛt
dry: ˗kaunɔːn
ear: ˗gɪtθ
eat: tɛnɲɛm
egg: ˗beyeː
eye: ˗kɔnyaːn
father: aba
fat (n.): ˗tumeːθ
feather: a˗kopir˗o
fire: ˗kɨm
fish: ˗kɔːlya
fly (n.): ˗čʊːtθ
foot: ˗qaːǯu
give: ɛnɛːk
good: ɛːǯɔːkʰ
grass: ṇinya
hair: ˗tɪm
hand: ˗qan
head: ˗qo
heart: ˗t̪au
horn: ˗mʷɛr
I: aːyyo
kill: t̪arr
knee: nya˗kuːŋ
know: tɔː˗yɛːn
leaf: ˗kwiː
liver: ˗maːn
long: loqɔː˗yɛn
louse: ŋgɪlɛːč
man: ˗kɪle
many: loqaːlɛn
meat: ˗kɪrin
moon: ɛ˗lap
moon: ˗lɛb
mountain: ˗mɔːr
mouth: ˗kutʊːk
name: ˗kurɔː
neck: yamɔθɪriːn
new: (nj)ɛ˗kɪtɛtɛː
night: ˗kʷaːre
night: k˗wáárɪ
old: moɟon
one: aːp\e
other: lɔːǯɛ
rain: ɛkʊru
red: laːrr ɛ nɛn
road: ɛːtɛn
root: ɛːtɛn
sand: yɛziːnyɛn
say: kʊrɔr
see: taːyⁿ
sit: kub\ɔːykɪn
skin: aqapɛːt
sleep: topɛr
small: čiči
smoke: ɛbʊru
snake: ˗mʊn
stand: tʊngʷaʔ
star: aqanyiːr
stone: ˗muru
sun: ˗kɔlɔːŋ
swim: taptap
tail: ˗laːdo
thin: ɛqapɪs
this: ˗ɛːpi
thou: ɛːθi
thou: iːyyo
three: amuni
tongue: ŋa˗ɟɛp
tongue: ˗ŋaǯɛb
tooth: nkɛl
tree: ŋakitɔ
two: ɣaːri
walk: tɔlɔʔ
warm: nákámónó
water: gibi
water: ŋákɪ́˗pì
wet: ɛpaːlal
we: wɔːni
what: njɔ njɪpɔreb
white: lɔqaqɔnɔn
who: ŋaːyo
woman: ɛbɛru
