arm: kandi
ashes: nembo
bark: gɔbi
bone: wimbi
breast: ama
brother: apa
brother: ʌbʌ
burn: ka
dog: isa
ear: ɔsumbɔ
eat: ne
eye: dɔŋi
fingernail: gawadziŋ
fire: de
foot: ke\e
full: sɔruwate
hair: wi
head: tapa
I: nɔ
knee: poto
leaf: kɔmir
leg: ke\e
long: pisaŋga
louse: tomoŋ
moon: gɔmbo
mother: name
mouth: maŋgo
name: obi
neck: dugɔŋ
new: kundziyoŋ
rain: yaŋgo
road: ore
sand: sodoma
say: manio te-
sister: kuɔ
skin: gɔbi
sleep: etio
smoke: wɔrɔ
spit: tuto
star: tutu
straight: umbumaŋ
sun: ɔkisa
thou: ene
thou: ge
tie: witumɔ
tooth: mɛto
warm: dziwiŋ
water: yaŋgo
wind: matun
wing: wiri
